outcome,predictor,BIC,AIC,term,estimate,conf.low,conf.high,chisq,df,p.value,warnings
wold_full,wl_mean + wl_cvar,9562.19276714016,9503.087770403577,wl_mean,0.6560111868877165,0.5021012323442278,0.8099211414312053,96.22031106549912,2,1.2765120788439352e-21,
wold_full,wl_mean + wl_cvar,9562.19276714016,9503.087770403577,wl_cvar,-0.19277598012573718,-0.3406818080099083,-0.04487015224156604,96.22031106549912,2,1.2765120788439352e-21,
wold_full,wl_mean,9558.244281030573,9507.582855256358,wl_mean,0.7164817985889371,0.5678681117043274,0.8650954854735469,89.72522621271855,1,2.7364352642683282e-21,
wold_full,do_mean + do_cvar,9562.29548950995,9503.190492773367,do_mean,0.8134964461347657,0.6377014079675501,0.9892914843019812,96.11758869570986,2,1.3437881524611877e-21,
wold_full,do_mean + do_cvar,9562.29548950995,9503.190492773367,do_cvar,-0.34639535685136297,-0.49347717621733667,-0.1993135374853893,96.11758869570986,2,1.3437881524611877e-21,
wold_full,do_mean,9573.186463709957,9522.525037935742,do_mean,0.7153188956628876,0.5476845272825758,0.8829532640431995,74.78304353333442,1,5.2539018483689224e-18,
wold_full,en,9560.062233039076,9509.400807264861,en,0.7073498011831292,0.5594804293882967,0.8552191729779617,87.90727420421535,1,6.859594252679416e-21,
wold_full,aoa_self,9526.284134007965,9475.62270823375,aoa_self,-0.7888915886902228,-0.9299041653221483,-0.6478790120582973,121.68537323532655,1,2.705075115384967e-28,
wold_full,cd,9567.32303827894,9516.661612504726,cd,0.6781285201462879,0.5305526160636969,0.8257044242288789,80.64646896435079,1,2.699364491826171e-19,
wold_full,conc,9647.648915463957,9596.987489689742,conc,-0.05610462995004904,-0.20638318295049424,0.09417392305039614,0.32059177933479077,1,0.5712522241308808,
wold_full,sens,9619.738888398359,9569.077462624144,sens,0.4088209868034775,0.25636061426751405,0.561281359339441,28.230618844932906,1,1.0768751257714385e-7,
wold_full,ins,9573.388655971245,9522.72723019703,ins,0.8070170590960762,0.608448571697913,1.0055855464942396,74.58085127204686,1,5.820503624193008e-18,
wold_full,1,9637.525936280921,9595.308081469077,(Intercept),5.166805997973966,NA,NA,NA,NA,NA,
ids_full,wl_mean + wl_cvar,71146.57144743043,71074.34351754758,wl_mean,0.5316415659492835,0.414920953793815,0.6483621781047519,95.20641382422764,2,2.1192876980941956e-21,
ids_full,wl_mean + wl_cvar,71146.57144743043,71074.34351754758,wl_cvar,-0.09408219097261519,-0.20981071046681504,0.021646328521584643,95.20641382422764,2,2.1192876980941956e-21,
ids_full,wl_mean,71136.78737458988,71074.87772040459,wl_mean,0.5595194691587282,0.4476422990819807,0.6713966392354757,92.67221096721187,1,6.171407019516426e-22,
ids_full,do_mean + do_cvar,71142.24147120607,71070.01354132322,do_mean,0.6001148004499465,0.483574757575536,0.7166548433243569,99.53639004858269,2,2.431910157435652e-22,
ids_full,do_mean + do_cvar,71142.24147120607,71070.01354132322,do_cvar,-0.1286916506104605,-0.2407721654066307,-0.0166111358142903,99.53639004858269,2,2.431910157435652e-22,
ids_full,do_mean,71134.97342774928,71073.06377356399,do_mean,0.5766741846144802,0.4617935891187403,0.69155478011022,94.48615780781256,1,2.4681230780849477e-22,
ids_full,en,71144.61152892295,71082.70187473766,en,0.5367291724214159,0.424486476999833,0.6489718678429989,84.8480566341459,1,3.221973246297162e-20,
ids_full,aoa_self,71088.03053649928,71026.12088231399,aoa_self,-0.6777486068093121,-0.7864443410458444,-0.5690528725727799,141.42904905781324,1,1.2963571767072146e-32,
ids_full,cd,71160.74206951463,71098.83241532934,cd,0.4846748208171017,0.37157444867392664,0.5977751929602768,68.71751604246674,1,1.1362718931404753e-16,
ids_full,conc,71229.4474056457,71167.5377514604,conc,-0.006580812801391136,-0.12344646444604578,0.1102848388432635,0.012179911398561671,1,0.9121217843190499,
ids_full,sens,71183.00689339075,71121.09723920545,sens,0.40213731589216783,0.2872143843702675,0.5170602474140682,46.45269216634915,1,9.385731465817494e-12,
ids_full,ins,71126.02243248177,71064.11277829648,ins,0.622778931997362,0.5031720185840501,0.7423858454106739,103.43715307532693,1,2.687866497630046e-24,
ids_full,1,71217.14130985955,71165.5499313718,(Intercept),3.4206970733967093,NA,NA,NA,NA,NA,
