outcome,predictor,term,coefficient,lower_ci,upper_ci,loo_elpd,loo_se,warnings,marginal_effect,conf_low,conf_high
lex_wold,wl_mean + wl_cvar,wl_mean,0.2344360735708656,0.16529867685613836,0.3055678431758761,7.207137210532036,28.65954033541273,,0.01784937826152312,0.012456742970175,0.023386715430828826
lex_wold,wl_mean + wl_cvar,wl_cvar,-0.06405390162351543,-0.13265203382622734,9.00694279297292e-4,7.207137210532036,28.65954033541273,,-0.004819133255522943,-0.010046040972678758,6.461842872199535e-5
lex_wold,wl_mean,wl_mean,0.25470323059827993,0.18949458503988598,0.32128448626263434,6.616490182216792,28.635020279307085,,0.01941625347030688,0.014363089567647945,0.024673299157722713
lex_wold,do_mean + do_cvar,do_mean,0.336482758583934,0.24468905855921647,0.43153799533760123,10.076358109195777,29.44924748625312,,0.02546394477202897,0.018466667149166584,0.03281955792903924
lex_wold,do_mean + do_cvar,do_cvar,-0.17339677679288684,-0.23996987684914015,-0.10977721087960675,10.076358109195777,29.44924748625312,,-0.013101338351675608,-0.018275162242445884,-0.00825491242815096
lex_wold,do_mean,do_mean,0.25001568709759686,0.16693542869334838,0.33207710455171463,-2.1530835290820853,29.189120676560876,,0.019177522761997585,0.012865699846975389,0.02565019481260857
lex_wold,en,en,0.2704304829857131,0.2064886241622241,0.33596781808253423,10.361703609366668,28.81467723027546,,0.020597332400509545,0.015743731266889206,0.026111300843272164
lex_wold,aoa_self,aoa_self,-0.29053761507475734,-0.34950069233653197,-0.23050843879911312,19.26714483964954,29.080150996131056,,-0.021666099800379722,-0.02627417966155178,-0.016879374785901232
lex_wold,cd,cd,0.24212850949479112,0.1768910480033055,0.30936861125586446,4.122001453809949,28.77373359786512,,0.018608557494321387,0.013495345436858016,0.023778294804702366
lex_wold,conc,conc,-0.06445749202634497,-0.12519999831688025,-0.006482651213922702,-18.893845623111794,29.31109364936543,,-0.005064936345636387,-0.010039138710173508,-5.194907758839845e-4
lex_wold,sens,sens,0.11772254085911377,0.05553079386709321,0.17935016929125783,-14.075467402985664,29.649876155556512,,0.009191757489076852,0.004321256505672142,0.014009481684815927
lex_wold,ins,ins,0.32781966427150855,0.22862194175964218,0.435509560903276,2.246926959465336,29.367492121864977,,0.02501955303817435,0.01754746589229133,0.0334176088366404
lex_wold,0 + Intercept,Intercept,2.1156055943668872,2.0325104176497666,2.2014751663582794,-20.07890704741451,29.467930747707506,,NA,NA,NA
lex_ids,wl_mean + wl_cvar,wl_mean,0.2391888916552374,0.1748207443018019,0.30307876533300837,688.8168074081029,38.42991862352581,,0.02509780384942755,0.018257122306544266,0.031862940731550535
lex_ids,wl_mean + wl_cvar,wl_cvar,-0.0777280339554835,-0.14267519141654755,-0.011524490698301878,688.8168074081029,38.42991862352581,,-0.008160213257961057,-0.015032838778238055,-0.0011634649163494765
lex_ids,wl_mean,wl_mean,0.2557240090998745,0.1935722286629261,0.31874169399925284,687.1581765214859,38.33456939737573,,0.026927860685834745,0.020335309012915793,0.03359303584578139
lex_ids,do_mean + do_cvar,do_mean,0.3326948081145901,0.25495703828646743,0.409259975119257,694.4598887525461,38.10329767255972,,0.034702434387016756,0.026546333422027342,0.04279478884316192
lex_ids,do_mean + do_cvar,do_cvar,-0.08819428354552733,-0.1530525038895262,-0.026191358088236028,694.4598887525461,38.10329767255972,,-0.009179781100743648,-0.016103771985173435,-0.002711606403896573
lex_ids,do_mean,do_mean,0.3015711805485185,0.2305090048221479,0.371625495731088,691.9169561561481,38.23023302628701,,0.03152577864312127,0.023982729641463946,0.039110749896919046
lex_ids,en,en,0.24470962409232602,0.18431324798449772,0.3096599418582179,684.488571018962,38.44623881020599,,0.025660120929708725,0.019333903318972757,0.03253289795978074
lex_ids,aoa_self,aoa_self,-0.3131272083543488,-0.3697298923673978,-0.25788364464168856,707.8028963322515,39.12995935881609,,-0.03251256350099508,-0.038706693655273156,-0.02661590913147869
lex_ids,cd,cd,0.22127311516923126,0.15793189182356718,0.2860353747438634,678.772291278624,38.551915001310874,,0.023301998384668766,0.016541297464811956,0.03011122201322389
lex_ids,conc,conc,-0.021697382453410578,-0.08331673822435325,0.04052618659334359,654.7546349802373,39.318403956667275,,-0.0022883096742388337,-0.00890798884285934,0.004285717228027739
lex_ids,sens,sens,0.18212418769222435,0.12079263722949986,0.24267303929734366,672.3479385022453,39.592211851766855,,0.019250169997417674,0.012832507283893574,0.025697376658403166
lex_ids,ins,ins,0.29838700821992176,0.22156598818555445,0.3740944981967082,689.2262937182282,38.63163240805236,,0.031208907343255623,0.023339579013373156,0.03974918914621269
lex_ids,0 + Intercept,Intercept,1.9938674573642594,1.9156751075612073,2.069024881770805,655.564287413966,39.35384483284154,,NA,NA,NA
