semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Animals,1337,pig,890,mule,46
Animals,1337,pig,938,mare,21
Animals,1337,pig,957,whale,89
Animals,1502,goat,1871,camel,51
Animals,1511,rooster,1290,elephant,48
Animals,1514,hen,1479,dolphin,88
Animals,1791,butterfly,1910,stingray,118
Animals,1791,butterfly,309,opossum,171
Animals,1793,bat,1910,stingray,118
Animals,1853,dove,1910,stingray,109
Animals,1936,deer,309,opossum,167
Animals,2139,muroid,1110,shark,97
Animals,2139,muroid,1290,elephant,53
Animals,2139,muroid,1312,fox,32
Animals,2139,muroid,1350,monkey,16
Animals,2139,muroid,1386,lion,38
Animals,2139,muroid,1509,mosquito,11
Animals,2139,muroid,1820,bear,45
Animals,2139,muroid,1871,camel,75
Animals,2139,muroid,1910,stingray,125
Animals,2139,muroid,232,flea,13
Animals,2139,muroid,266,scale,17
Animals,2139,muroid,522,wolf,39
Animals,2139,muroid,620,insect,46
Animals,2139,muroid,88,beehive,30
Animals,2139,muroid,957,whale,92
Animals,2263,male,1110,shark,87
Animals,307,hawk,1110,shark,81
Animals,539,nest,1110,shark,92
Animals,539,nest,1479,dolphin,88
Animals,539,nest,1910,stingray,120
Animals,539,nest,95,sandfly,30
Animals,539,nest,957,whale,87
Animals,615,horse,1290,elephant,48
Animals,615,horse,1647,foal,23
Animals,615,horse,1862,donkey,31
Animals,615,horse,1871,camel,70
Animals,615,horse,890,mule,44
Animals,615,horse,957,whale,87
Animals,665,bee,309,opossum,174
Animals,665,bee,88,beehive,26
Animals,730,snake,1543,snail,14
Animals,730,snake,1857,crocodile,40
Animals,730,snake,1910,stingray,124
Animals,730,snake,206,firefly,35
Animals,730,snake,309,opossum,177
Animals,730,snake,607,grasshopper,17
Animals,843,spider,1791,butterfly,3
Animals,843,spider,1910,stingray,121
Animals,843,spider,1916,gill,87
Animals,843,spider,1931,beeswax,27
Animals,843,spider,206,firefly,32
Animals,843,spider,309,opossum,174
Animals,843,spider,503,frog,2
Animals,843,spider,607,grasshopper,14
Animals,843,spider,88,beehive,26
Animals,882,parrot,1479,dolphin,76
Animals,937,bird,1871,camel,72
Animals,937,bird,950,seagull,81
Animals,2139,muroid,1136,rabbit,17
Animals,843,spider,1136,rabbit,13
Animals,2139,muroid,1169,ox,34
Animals,843,spider,1185,vulture,41
Animals,2139,muroid,1187,goose,40
Animals,730,snake,1290,elephant,52
Animals,1337,pig,1331,sheep,22
Animals,2139,muroid,1331,sheep,25
Animals,1337,pig,1344,ram,37
Animals,2139,muroid,1344,ram,40
Animals,615,horse,1344,ram,35
Animals,1337,pig,1345,ewe,37
Animals,2139,muroid,1345,ewe,40
Animals,730,snake,1386,lion,37
Animals,1219,worm,1479,dolphin,84
Animals,1791,butterfly,1479,dolphin,86
Animals,503,frog,1479,dolphin,87
Animals,730,snake,1479,dolphin,92
Animals,843,spider,1479,dolphin,89
Animals,2139,muroid,1502,goat,24
Animals,2139,muroid,1647,foal,28
Animals,843,spider,1793,bat,3
Animals,2139,muroid,1853,dove,16
Animals,730,snake,1853,dove,15
Animals,2139,muroid,1862,donkey,36
Animals,730,snake,1871,camel,74
Animals,2139,muroid,1905,eagle,55
Animals,843,spider,1905,eagle,51
Animals,730,snake,1931,beeswax,30
Animals,2139,muroid,1972,young goat,43
Animals,615,horse,1972,young goat,38
Animals,730,snake,1974,centipede,32
Animals,843,spider,1974,centipede,29
Animals,2139,muroid,1989,calf,17
Animals,615,horse,1989,calf,12
Animals,843,spider,213,fin,29
Animals,2139,muroid,2475,male goat,42
Animals,615,horse,2475,male goat,37
Animals,2139,muroid,263,herdsman,31
Animals,615,horse,263,herdsman,26
Animals,2139,muroid,265,fowl,54
Animals,843,spider,267,nit,14
Animals,843,spider,598,shell,20
Animals,2139,muroid,615,horse,5
Animals,843,spider,620,insect,42
Animals,730,snake,631,livestock,41
Animals,2139,muroid,649,pasture,36
Animals,615,horse,649,pasture,31
Animals,2139,muroid,735,owl,12
Animals,503,frog,735,owl,6
Animals,843,spider,735,owl,8
Animals,730,snake,758,heron,48
Animals,843,spider,758,heron,45
Animals,1337,pig,820,lamb,42
Animals,2139,muroid,820,lamb,45
Animals,615,horse,820,lamb,40
Animals,2139,muroid,851,stable,32
Animals,730,snake,851,stable,31
Animals,503,frog,88,beehive,24
Animals,730,snake,88,beehive,29
Animals,730,snake,882,parrot,16
Animals,2139,muroid,890,mule,49
Animals,730,snake,890,mule,48
Animals,2139,muroid,913,crow,37
Animals,503,frog,913,crow,31
Animals,843,spider,913,crow,33
Animals,2139,muroid,936,stallion,28
Animals,2139,muroid,938,mare,24
Animals,1219,worm,950,seagull,75
Animals,1517,wasp,950,seagull,75
Animals,1791,butterfly,950,seagull,77
Animals,2139,muroid,950,seagull,84
Animals,503,frog,950,seagull,78
Animals,735,owl,950,seagull,72
Animals,843,spider,950,seagull,80
Animals,1517,wasp,957,whale,83
Animals,1791,butterfly,957,whale,85
Animals,843,spider,957,whale,88
Basic actions and technology,1218,rope,1361,tool,42
Basic actions and technology,1218,rope,1481,hammer,15
Basic actions and technology,1218,rope,211,cast,73
Basic actions and technology,1218,rope,3217,tin or tinplate,61
Basic actions and technology,1218,rope,621,iron,19
Basic actions and technology,1218,rope,627,lead,52
Basic actions and technology,1369,gold,914,sculptor,71
Basic actions and technology,1414,squeeze,1971,fan,17
Basic actions and technology,1414,squeeze,360,fan,15
Basic actions and technology,1437,split,1002,statue,60
Basic actions and technology,1437,split,1648,anvil,66
Basic actions and technology,1437,split,1979,chisel,50
Basic actions and technology,1437,split,2001,painting,18
Basic actions and technology,1437,split,234,paddle,60
Basic actions and technology,1437,split,289,mold,50
Basic actions and technology,1437,split,359,potter,63
Basic actions and technology,1437,split,914,sculptor,86
Basic actions and technology,1453,wash,1001,blacksmith,47
Basic actions and technology,1453,wash,1002,statue,65
Basic actions and technology,1453,wash,1042,carpenter,39
Basic actions and technology,1453,wash,1361,tool,43
Basic actions and technology,1453,wash,1399,clay,6
Basic actions and technology,1453,wash,1481,hammer,16
Basic actions and technology,1453,wash,1501,bore,7
Basic actions and technology,1453,wash,1539,basket,7
Basic actions and technology,1453,wash,1648,anvil,71
Basic actions and technology,1453,wash,1979,chisel,55
Basic actions and technology,1453,wash,211,cast,74
Basic actions and technology,1453,wash,228,carve,41
Basic actions and technology,1453,wash,288,forge,61
Basic actions and technology,1453,wash,289,mold,55
Basic actions and technology,1453,wash,292,rug,73
Basic actions and technology,1453,wash,3137,oar,36
Basic actions and technology,1453,wash,3217,tin or tinplate,62
Basic actions and technology,1453,wash,604,glass,24
Basic actions and technology,1453,wash,627,lead,53
Basic actions and technology,1453,wash,647,paint,23
Basic actions and technology,1453,wash,914,sculptor,91
Basic actions and technology,1487,pour,1002,statue,63
Basic actions and technology,1487,pour,161,miss,29
Basic actions and technology,1487,pour,1648,anvil,69
Basic actions and technology,1487,pour,1979,chisel,53
Basic actions and technology,1487,pour,211,cast,72
Basic actions and technology,1487,pour,228,carve,39
Basic actions and technology,1487,pour,234,paddle,63
Basic actions and technology,1487,pour,288,forge,59
Basic actions and technology,1487,pour,289,mold,53
Basic actions and technology,1487,pour,293,netbag,50
Basic actions and technology,1487,pour,914,sculptor,89
Basic actions and technology,1501,bore,211,cast,67
Basic actions and technology,1501,bore,914,sculptor,84
Basic actions and technology,1719,bury,1001,blacksmith,47
Basic actions and technology,1719,bury,1002,statue,65
Basic actions and technology,1719,bury,1042,carpenter,39
Basic actions and technology,1719,bury,1069,glue,30
Basic actions and technology,1719,bury,1361,tool,43
Basic actions and technology,1719,bury,1369,gold,20
Basic actions and technology,1719,bury,1414,squeeze,6
Basic actions and technology,1719,bury,1437,split,5
Basic actions and technology,1719,bury,1481,hammer,16
Basic actions and technology,1719,bury,161,miss,31
Basic actions and technology,1719,bury,1627,chain,27
Basic actions and technology,1719,bury,1648,anvil,71
Basic actions and technology,1719,bury,1948,saw,14
Basic actions and technology,1719,bury,195,mat,42
Basic actions and technology,1719,bury,1971,fan,23
Basic actions and technology,1719,bury,1979,chisel,55
Basic actions and technology,1719,bury,2001,painting,23
Basic actions and technology,1719,bury,211,cast,74
Basic actions and technology,1719,bury,2131,torch or lamp,8
Basic actions and technology,1719,bury,228,carve,41
Basic actions and technology,1719,bury,234,paddle,65
Basic actions and technology,1719,bury,245,broom,5
Basic actions and technology,1719,bury,288,forge,61
Basic actions and technology,1719,bury,289,mold,55
Basic actions and technology,1719,bury,293,netbag,52
Basic actions and technology,1719,bury,3137,oar,36
Basic actions and technology,1719,bury,3294,braid,10
Basic actions and technology,1719,bury,354,pound,20
Basic actions and technology,1719,bury,359,potter,68
Basic actions and technology,1719,bury,360,fan,21
Basic actions and technology,1719,bury,604,glass,24
Basic actions and technology,1719,bury,621,iron,20
Basic actions and technology,1719,bury,647,paint,23
Basic actions and technology,1719,bury,760,knot,13
Basic actions and technology,1719,bury,914,sculptor,91
Basic actions and technology,1735,tear,1002,statue,65
Basic actions and technology,1735,tear,1361,tool,43
Basic actions and technology,1735,tear,1481,hammer,16
Basic actions and technology,1735,tear,1648,anvil,71
Basic actions and technology,1735,tear,1979,chisel,55
Basic actions and technology,1735,tear,228,carve,41
Basic actions and technology,1735,tear,234,paddle,65
Basic actions and technology,1735,tear,288,forge,61
Basic actions and technology,1735,tear,289,mold,55
Basic actions and technology,1735,tear,291,pull off,10
Basic actions and technology,1735,tear,292,rug,73
Basic actions and technology,1735,tear,604,glass,24
Basic actions and technology,1735,tear,621,iron,20
Basic actions and technology,1735,tear,627,lead,53
Basic actions and technology,1735,tear,914,sculptor,91
Basic actions and technology,1767,scrape,234,paddle,57
Basic actions and technology,1913,press,1648,anvil,63
Basic actions and technology,1913,press,914,sculptor,83
Basic actions and technology,1917,tie,1002,statue,65
Basic actions and technology,1917,tie,1361,tool,43
Basic actions and technology,1917,tie,1487,pour,2
Basic actions and technology,1917,tie,1539,basket,7
Basic actions and technology,1917,tie,161,miss,31
Basic actions and technology,1917,tie,1648,anvil,71
Basic actions and technology,1917,tie,195,mat,42
Basic actions and technology,1917,tie,1971,fan,23
Basic actions and technology,1917,tie,1979,chisel,55
Basic actions and technology,1917,tie,2001,painting,23
Basic actions and technology,1917,tie,211,cast,74
Basic actions and technology,1917,tie,228,carve,41
Basic actions and technology,1917,tie,234,paddle,65
Basic actions and technology,1917,tie,288,forge,61
Basic actions and technology,1917,tie,289,mold,55
Basic actions and technology,1917,tie,290,adze,74
Basic actions and technology,1917,tie,291,pull off,10
Basic actions and technology,1917,tie,293,netbag,52
Basic actions and technology,1917,tie,3137,oar,36
Basic actions and technology,1917,tie,3217,tin or tinplate,62
Basic actions and technology,1917,tie,3294,braid,10
Basic actions and technology,1917,tie,354,pound,20
Basic actions and technology,1917,tie,360,fan,21
Basic actions and technology,1917,tie,627,lead,53
Basic actions and technology,1917,tie,760,knot,13
Basic actions and technology,1917,tie,914,sculptor,91
Basic actions and technology,2004,bend,1001,blacksmith,47
Basic actions and technology,2004,bend,1002,statue,65
Basic actions and technology,2004,bend,1042,carpenter,39
Basic actions and technology,2004,bend,1069,glue,30
Basic actions and technology,2004,bend,1369,gold,20
Basic actions and technology,2004,bend,1481,hammer,16
Basic actions and technology,2004,bend,1487,pour,2
Basic actions and technology,2004,bend,1501,bore,7
Basic actions and technology,2004,bend,155,chop,15
Basic actions and technology,2004,bend,161,miss,31
Basic actions and technology,2004,bend,1648,anvil,71
Basic actions and technology,2004,bend,1840,build,8
Basic actions and technology,2004,bend,1948,saw,14
Basic actions and technology,2004,bend,1979,chisel,55
Basic actions and technology,2004,bend,211,cast,74
Basic actions and technology,2004,bend,228,carve,41
Basic actions and technology,2004,bend,234,paddle,65
Basic actions and technology,2004,bend,288,forge,61
Basic actions and technology,2004,bend,289,mold,55
Basic actions and technology,2004,bend,290,adze,74
Basic actions and technology,2004,bend,291,pull off,10
Basic actions and technology,2004,bend,292,rug,73
Basic actions and technology,2004,bend,293,netbag,52
Basic actions and technology,2004,bend,3217,tin or tinplate,62
Basic actions and technology,2004,bend,352,untie,6
Basic actions and technology,2004,bend,354,pound,20
Basic actions and technology,2004,bend,359,potter,68
Basic actions and technology,2004,bend,647,paint,23
Basic actions and technology,2004,bend,914,sculptor,91
Basic actions and technology,2131,torch or lamp,914,sculptor,83
Basic actions and technology,2133,strike or beat,1002,statue,65
Basic actions and technology,2133,strike or beat,1361,tool,43
Basic actions and technology,2133,strike or beat,1487,pour,2
Basic actions and technology,2133,strike or beat,1539,basket,7
Basic actions and technology,2133,strike or beat,161,miss,31
Basic actions and technology,2133,strike or beat,1648,anvil,71
Basic actions and technology,2133,strike or beat,195,mat,42
Basic actions and technology,2133,strike or beat,1971,fan,23
Basic actions and technology,2133,strike or beat,1979,chisel,55
Basic actions and technology,2133,strike or beat,2001,painting,23
Basic actions and technology,2133,strike or beat,211,cast,74
Basic actions and technology,2133,strike or beat,228,carve,41
Basic actions and technology,2133,strike or beat,234,paddle,65
Basic actions and technology,2133,strike or beat,288,forge,61
Basic actions and technology,2133,strike or beat,289,mold,55
Basic actions and technology,2133,strike or beat,290,adze,74
Basic actions and technology,2133,strike or beat,291,pull off,10
Basic actions and technology,2133,strike or beat,293,netbag,52
Basic actions and technology,2133,strike or beat,3137,oar,36
Basic actions and technology,2133,strike or beat,3217,tin or tinplate,62
Basic actions and technology,2133,strike or beat,3294,braid,10
Basic actions and technology,2133,strike or beat,354,pound,20
Basic actions and technology,2133,strike or beat,360,fan,21
Basic actions and technology,2133,strike or beat,627,lead,53
Basic actions and technology,2133,strike or beat,914,sculptor,91
Basic actions and technology,228,carve,914,sculptor,50
Basic actions and technology,230,sweep,1001,blacksmith,47
Basic actions and technology,230,sweep,1002,statue,65
Basic actions and technology,230,sweep,1042,carpenter,39
Basic actions and technology,230,sweep,1361,tool,43
Basic actions and technology,230,sweep,1648,anvil,71
Basic actions and technology,230,sweep,1979,chisel,55
Basic actions and technology,230,sweep,211,cast,74
Basic actions and technology,230,sweep,245,broom,5
Basic actions and technology,230,sweep,292,rug,73
Basic actions and technology,230,sweep,293,netbag,52
Basic actions and technology,230,sweep,3137,oar,36
Basic actions and technology,230,sweep,3217,tin or tinplate,62
Basic actions and technology,230,sweep,359,potter,68
Basic actions and technology,230,sweep,502,nail,10
Basic actions and technology,230,sweep,604,glass,24
Basic actions and technology,230,sweep,621,iron,20
Basic actions and technology,230,sweep,627,lead,53
Basic actions and technology,230,sweep,914,sculptor,91
Basic actions and technology,245,broom,914,sculptor,86
Basic actions and technology,291,pull off,1648,anvil,61
Basic actions and technology,291,pull off,1979,chisel,45
Basic actions and technology,291,pull off,288,forge,51
Basic actions and technology,291,pull off,914,sculptor,81
Basic actions and technology,352,untie,290,adze,68
Basic actions and technology,352,untie,292,rug,67
Basic actions and technology,677,axe,1001,blacksmith,47
Basic actions and technology,677,axe,1361,tool,43
Basic actions and technology,677,axe,1369,gold,20
Basic actions and technology,677,axe,1399,clay,6
Basic actions and technology,677,axe,1481,hammer,16
Basic actions and technology,677,axe,161,miss,31
Basic actions and technology,677,axe,1648,anvil,71
Basic actions and technology,677,axe,1913,press,8
Basic actions and technology,677,axe,1979,chisel,55
Basic actions and technology,677,axe,228,carve,41
Basic actions and technology,677,axe,234,paddle,65
Basic actions and technology,677,axe,2866,drop,17
Basic actions and technology,677,axe,288,forge,61
Basic actions and technology,677,axe,289,mold,55
Basic actions and technology,677,axe,290,adze,74
Basic actions and technology,677,axe,291,pull off,10
Basic actions and technology,677,axe,292,rug,73
Basic actions and technology,677,axe,293,netbag,52
Basic actions and technology,677,axe,3137,oar,36
Basic actions and technology,677,axe,3217,tin or tinplate,62
Basic actions and technology,677,axe,359,potter,68
Basic actions and technology,677,axe,627,lead,53
Basic actions and technology,677,axe,759,silver,23
Basic actions and technology,677,axe,914,sculptor,91
Basic actions and technology,680,break,1001,blacksmith,47
Basic actions and technology,680,break,1501,bore,7
Basic actions and technology,680,break,1648,anvil,71
Basic actions and technology,680,break,1913,press,8
Basic actions and technology,680,break,1979,chisel,55
Basic actions and technology,680,break,2001,painting,23
Basic actions and technology,680,break,211,cast,74
