ID,Name,Description,Contributor,Citation,Source,Related,PDF,Tags,Year,Number_Of_Items,Gloss_Language_IDs,Target_Language,List_Suffix,Source_URL,Pages,Alias,Attributes
Johansson-2020-344,"Johansson, Niklas Erben and Anikin, Andrey and Carling, Gerd and Holmer, Arthur 2020","The given 344-item concept list underlies the analysis of sound symbolic patterns across 245 language families. The supposedly stable and universal items of the concept list include the 56 oppositional concepts from [Johansson (2017)](conceptlists.csv#cldf:Johansson-2017-56), 64 kinship terms two steps from the ego with relative age distinctions, and a combination of classical basic vocabulary lists, such as [Swadesh’s list of 100 items](conceptlists.csv#cldf:Swadesh-1971-100), [the Leipzig-Jakarta list (Haspelmath & Tadmor 2009)](conceptlists.csv#cldf:Tadmor-2009-100), and a list by [Goddard and Wierzbicka’s (2002)](conceptlists.csv#cldf:Goddard-2002-59). The information on the 59 concepts, favoring sound symbolism, is taken from Appendix 1 and added to the column called ``SOUND_SYMBOLIC``, where «1» indicates the concepts with sound-meaning associations whereas «0» means the lack thereof.","Johansson, Niklas Erben and Anikin, Andrey and Carling, Gerd and Holmer, Arthur",n.d.,Johansson2020a,Johansson-2017-56 Swadesh-1971-100 Tadmor-2009-100 Goddard-2002-59,Johansson2020a,basic,2020,344,english,Global,,https://doi.org/10.1515/lingty-2020-2034,262-263,,lexibank_gloss sound_symbolic
Johansson-2017-56,"Johansson, Niklas Erben 2017","The present list was compiled in the phonosemantic study which investigated cross-linguistic phoneme distributions of 56 fundamental oppositional concepts across 75 genetically and areally distributed languages. The concepts, selected for this purpose, are organized in antonymous pairs, and the column PAIR reflects which antonyms belong together. The internal order of the items in the column ORDER, with one member being mentioned first, does not imply the hierachical superiority or salience of one element over the other but simply reflects the order in which the words are listed in the source. The concept data for this list were derived from [Swadesh (1971)](conceptlists.csv#cldf:Swadesh-1971-100); [Holman et al. (2008)](conceptlists.csv#cldf:Holman-2008-40); [Pagel et al. (2013)](conceptlists.csv#cldf:Pagel-2013-23); [Goddard and Wierzbicka (2002)](conceptlists.csv#cldf:Goddard-2002-59), and [Willners (2001)](sources.bib#cldf:Willners2001).","Johansson, Niklas Erben",n.d.,Johansson2017,Swadesh-1971-100 Holman-2008-40 Pagel-2013-23 Goddard-2002-59,,basic; specific,2017,56,english,Global,,http://doi.org/10.1075/ill.15,,,order pair
Tjuka-2020-171,"Tjuka, Annika 2020","The list includes 171 body part concepts. Each concept was categorized into human, animal, or human/animal. In addition, the concepts received tags for gender (male/female) and if applicable, a reference for the relation to other body parts (part of, instance of).","Tjuka, Annika",n.d.,Tjuka2020,,,body parts; specific,2020,171,english,Global,,https://doi.org/10.5281/zenodo.4058506,,,category gender german instance_of narrower part_of
Gabelentz-1892-1074,"Gabelentz, Georg von der 1892",This historical list was compiled as a typological resource for missionaries and travellers who might want to assist in collecting data on foreign languages. The items are grouped by categories reflecting word classes and sub-categories reflecting a semantic ordering.,"Gabelentz, Georg von der",n.d.,Gabelentz1892,,,historical; questionnaire,1892,1074,german,Global,,https://archive.org/details/HandbuchZurAufnahmeFremderSprachen/page/n41/mode/2up,,,category subcategory
Miklashevsky-2018-506,"Miklashevsky, Alex 2018","The list presents normative data on the modality (visual, auditory, haptic, olfactory, and gustatory) ratings, vertical spatial localization of the object, manipulability, imageability, age of acquisition, and subjective frequency for 506 Russian nouns.","Miklashevsky, Alex",n.d.,Miklashevsky2018,,,ratings,2018,506,english russian,Russian,,https://doi.org/10.1007/s10936-017-9548-1,,,abstractness aoa_mean auditory_mean gender gustatory_mean haptic_mean imageability_mean length manipulability_mean objective_word_frequency olfactory_mean semantic_category spatial_localization_mean subjective_freq_mean transliteration visual_mean
Morucci-2019-643,"Morucci, Piermatteo and Bottini, Roberto and Crepaldi, Davide 2019","The list presents modality norms for 643 Italian adjectives, which referred to one of the five perceptual modalities (touch, audition, vision, smell, and taste) or were abstract. The ratings also include psycholinguistic variables (age of acquisition, familiarity, contextual availability).","Morucci, Piermatteo and Bottini, Roberto and Crepaldi, Davide",n.d.,Morucci2019,,,ratings,2019,643,english italian,Italian,,https://osf.io/a3bjm/,,,aoa_mean auditory_mean context_availability familiarity_mean gustatory_mean haptic_mean olfactory_mean perceptual_dominant perceptual_exclusivity perceptual_strength_entropy perceptual_strength_max perceptual_strength_sum visual_mean
BirketSmith-1928-510,"Birket-Smith, Kaj 1928","This list was used by members of the Fifth Thule Expedition (between the years of 1921 to 1924) to collect words from three dialects spoken by the indigenous people living in «Arctic America» (northern Canada). The author notes that a linguistic survey was not the main focus of the expedition, but that a basic linguistic study still was to be attempted, given the «extremely slight material otherwise available from the Central Eskimos». Although the author states that the list has 500 items, it actually has 510 items in total when expanding all alternative glosses in the list and by including the numerals in the total count.","Birket-Smith, Kaj",n.d.,BirketSmith1928,,BirketSmith1928,areal; basic; historical,1928,510,english,Inuinnaqtun and Natsilingmiutut,,,,,category
Chen-2019-61,"Chen, I-Hsuan and Zhao, Qingqing and Long, Yunfei and Lu, Qin and Huang, Chu-Ren 2019","The list presents modality exclusivity norms for 61 Chinese adjectives rated on visual, auditory, haptic, gustatory, and olfactory associations. The adjectives are two-character compounds.","Chen, I-Hsuan and Zhao, Qingqing and Long, Yunfei and Lu, Qin and Huang, Chu-Ren",n.d.,Chen2019,,,ratings,2019,61,english,Chinese,,https://figshare.com/articles/dataset/Mandarin_Chinese_modality_exclusivity_norms/7747022,,,auditory_mean chinese chinese_simplified english_morpheme gustatory_mean haptic_mean olfactory_mean perceptual_dominant perceptual_exclusivity perceptual_morpheme pinyin visual_mean
Chen-2019-171,"Chen, I-Hsuan and Zhao, Qingqing and Long, Yunfei and Lu, Qin and Huang, Chu-Ren 2019","The list presents modality exclusivity norms for 171 Chinese adjectives rated on visual, auditory, haptic, gustatory, and olfactory associations. The adjectives are single-character words.","Chen, I-Hsuan and Zhao, Qingqing and Long, Yunfei and Lu, Qin and Huang, Chu-Ren",n.d.,Chen2019,,,ratings,2019,171,chinese english,Chinese,,https://figshare.com/articles/dataset/Mandarin_Chinese_modality_exclusivity_norms/7747022,,,auditory_mean chinese_simplified gustatory_mean haptic_mean olfactory_mean perceptual_dominant perceptual_exclusivity pinyin visual_mean
Speed-2017-485,"Speed, Laura J. and Majid, Asifa 2017","The list presents modality exclusivity norms for 485 Dutch nouns rated on visual, auditory, haptic, gustatory, and olfactory associations. The authors also collected ratings of emotion (valence, dominance, and arousal) to assess its role in perceptual space simulation.","Speed, Laura J. and Majid, Asifa",n.d.,Speed2017,,,ratings,2017,485,dutch english,Dutch,,https://doi.org/10.3758/s13428-017-0852-3,,,arousal_mean auditory_mean dominance_mean gustatory_mean haptic_mean olfactory_mean perceptual_dominant perceptual_exclusivity valence_mean visual_mean
