concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
1732,sky,"The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.",n09436708,sky,the atmosphere and outer space as viewed from the earth
1343,sun,"The particular star at the centre of our solar system, from which the Earth gets light and heat.",n09450163,sun//Sun,"the star that is the source of light and heat for the planets in the solar system; ""the sun contains 99.85% of the mass in the solar system""; ""the Earth revolves around the Sun"""
1313,moon,A natural satellite of a planet.,n09358358,Moon//moon,"the natural satellite of the Earth; ""the average distance to the Moon is 384,400 kilometers""; ""men first stepped on the moon in 1969"""
1430,star,A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.,n09444783,star,any celestial body visible (as a point of light) from the Earth at night
1654,lightning,The flash of light caused by the discharge of atmospheric electrical charge.,n11475279,lightning,abrupt electric discharge from cloud to cloud or from cloud to earth accompanied by the emission of light
1150,thunder,Sound produced by fast air expansion induced by a lightning.,n07397355,thunder,a booming or crashing noise caused by air expanding along the path of a bolt of lightning
2007,bolt (of lightning),"A sudden, short, temporary burst of light.",n11519121,thunderbolt//bolt//bolt of lightning,a discharge of lightning accompanied by thunder
858,storm,An atmospheric disturbance involving perturbations of the prevailing pressure and wind fields on scales ranging from tornadoes to extratropical cyclones; also the associated weather and the like. (Source: MGH),n11462526,storm//violent storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
1733,rainbow,A multicoloured arc in the sky caused by the refraction of light within droplets of rain in the air.,n09403427,rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain
630,light (radiation),Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED),n05018103,luminosity//brightness//brightness level//luminance//luminousness//light,"the quality of being luminous; emitting or reflecting light; ""its luminosity is measured relative to that of our sun"""
11,darkness,Absence of light.,n13983515,dark//darkness,absence of light or illumination
1388,shade,"Darkness, where light (particularly sunlight) is blocked.",n13984944,shadow,shade within clear boundaries
1977,dew,Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.,n14834132,dew,"water that has condensed on a cool surface overnight from water vapor in the air; ""in the morning the grass was wet with dew"""
27,air,A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.,n14841267,air,"a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of; ""air pollution""; ""a smell of chemicals in the air""; ""open a window and let in some air""; ""I need some fresh air"""
960,wind,"The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.",n11525955,wind//air current//current of air,"air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure; ""trees bent under the fierce winds""; ""when there is no wind, row""; ""the radioactivity was being swept upwards by the air current and out into the atmosphere"""
1489,cloud,Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.,n09247410,cloud,a visible mass of water or ice particles suspended at a considerable altitude
249,fog,"Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.",n11458314,fog,droplets of water vapor suspended in the air near the ground
658,rain (precipitation),Precipitation in the form of liquid water drops with diameters greater than 0.5 millimeters.,n11501381,rain//rainfall,water falling in drops from vapor condensed in the atmosphere
784,snow,"The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.",n11508382,snow//snowfall,precipitation falling from clouds in the form of ice crystals
617,ice,The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.,n14915184,ice//water ice,"water frozen in the solid state; ""Americans like ice in their drinks"""
952,weather,"The day-to-day meteorological conditions, especially temperature, cloudiness, and rainfall, affecting a specific place.",n11524662,weather//weather condition//conditions//atmospheric condition,"the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation; ""they were hoping for good weather""; ""every day we have weather conditions and yesterday was no exception""; ""the conditions were too rainy for playing in the snow"""
221,fire,"The state of combustion in which inflammable material burns, producing heat, flames and often smoke.",n13480848,fire//flame//flaming,"the process of combustion of inflammable materials producing heat and light and (often) smoke; ""fire was one of our ancestors' first discoveries"""
889,flame,"A bright yellow, red or bluish light which emerges during combustion processes.",n13480848,fire//flame//flaming,"the process of combustion of inflammable materials producing heat and light and (often) smoke; ""fire was one of our ancestors' first discoveries"""
778,smoke (exhaust),"An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.",n13556893,smoke//smoking,"a hot vapor containing fine particles of carbon being produced by combustion; ""the fire produced a tower of black smoke that could be seen for miles"""
646,ash,The incombustible matter remaining after a substance has been incinerated.,n14769160,ash,the residue that remains when something is burned
67,embers,"A small, glowing piece of coal or wood, as in a dying fire.",n09273130,ember//coal,a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
141,burn (something),To cause to undergo fire combustion.,v00378042,burn//incinerate,"cause to undergo combustion; ""burn garbage""; ""The car burns only Diesel oil"""
1428,burning,To be consumed by fire.,v00377002,burn//combust,"undergo combustion; ""Maple wood burns well"""
737,light (ignite),To start a fire or light a flame.,v02759614,ignite//light,"cause to start burning; subject to fire or great heat; ""Great heat can ignite almost any dry matter""; ""Light a cigarette"""
127,extinguish,To make something stop burning.,v02761897,snuff out//blow out//extinguish//quench,"put out, as of fires, flames, or lights; ""Too big to be extinguished at once, the forest fires at best could be contained""; ""quench the flames""; ""snuff out the candles"""
1133,match,A stick with inflammable substance on one end that can be set on fire by friction.,n03728437,match//lucifer//friction match,"lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction; ""he always carries matches to light his pipe""; ""as long you've a lucifer to light your fag"""
10,firewood,Wood intended to be burned.,n15100644,firewood,"wood used for fuel; ""they collected and cut their own firewood"""
1188,charcoal,"A porous solid product containing 85-98% carbon and produced by heating carbonaceous materials such as cellulose, wood or peat at 500-600 C° in the absence of air. (Source: MGH)",n14685296,charcoal//wood coal,a carbonaceous material obtained by heating wood or other organic matter in the absence of air
683,person,A human being.,n00007846,person//individual//someone//somebody//mortal//soul,"a human being; ""there was too much for one person to do"""
1554,man,An adult human member of the sex that begets young by fertilizing ova.,n10287213,man//adult male,"an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"""
962,woman,An adult human member of the sex that produces ova and bears young.,n10787470,woman//adult female,"an adult female person (as opposed to a man); ""the woman kept house while the man hunted"""
2261,male (of person),Relating to the male sex of humans.,a01476685,male,"being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation; ""a male infant""; ""a male holly tree"""
2260,female (of person),Relating to the female sex of humans.,a01478182,female,"for or pertaining to or composed of women or girls; ""the female lead in the play""; ""a female chorus"""
1366,boy,"A young male person, usually a child or teenager.",n10285313,male child//boy,"a youthful male person; ""the baby was a boy""; ""she made the boy brush his teeth every night""; ""most soldiers are only boys in uniform"""
1646,girl,"A young female person, usually a child or teenager.",n10084295,female child//girl//little girl,"a youthful female person; ""the baby was a girl""; ""the girls were just learning to ride a tricycle"""
