concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
1346,throat,The front part of the neck.,n05547508,throat//pharynx,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
1482,shoulder,"One side of the top of the torso, where an arm attaches or joins.",n05548840,shoulder,the part of the body between the neck and the upper arm
172,shoulderblade,A large flat bone located at the back of each shoulder.,n05279688,scapula//shoulder blade//shoulder bone,either of two flat triangular bones one on each side of the shoulder in human beings
1994,collarbone,Bone linking the scapula and sternum.,n05274105,clavicle//collarbone,bone linking the scapula and sternum
1673,arm,"The upper limb, extending from the shoulder to the wrist and sometimes including the hand.",n05563770,arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
1886,armpit,The hollow under the upper part of the arm at the shoulder.,n05549576,armpit//axilla//axillary cavity//axillary fossa,"the hollow under the arm where it is joined to the shoulder; ""they were up to their armpits in water"""
981,elbow,The joint between arm and forearm.,n05579944,elbow//elbow joint//human elbow//cubitus//cubital joint//articulatio cubiti,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
799,wrist,The flexible and narrower connection between the forearm and the hand.,n05584928,wrist//carpus//wrist joint//radiocarpal joint//articulatio radiocarpea,a joint between the distal end of the radius and the proximal row of carpal bones
1277,hand,That part of the fore limb below the forearm or wrist in primates (including humans).,n05564590,hand//manus//mitt//paw,"the (prehensile) extremity of the superior limb; ""he had the hands of a surgeon""; ""he extended his mitt"""
1303,finger,One of the long extremities of the hand that is used for gripping objects.,n05566504,finger,"any of the terminal members of the hand (sometimes excepting the thumb); ""her fingers were long and thin"""
1781,thumb,The shortest and thickest of the fingers that can be placed against the others in order to create a firm grip.,n05567217,thumb//pollex,the thick short innermost digit of the forelimb
1258,fingernail,"The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.",n05584265,fingernail,the nail at the end of a finger
72,claw,"The hard, keratin part growing at the feet of animals.",n02156140,claw,sharp curved horny process on the toe of a bird or some mammals or reptiles
1297,leg,The limb of an animal (including humans) that extends from the groin to the ankle.,n05561507,leg,a structure in animals that is similar to a human leg and used for locomotion
471,upper leg (thigh),The part of the leg between the pelvis and the knee.,NA,NA,NA
1371,knee,"In man, the joint in the middle part of the leg.",n05573602,knee//knee joint//human knee//articulatio genus//genu,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
1301,foot,The part of a human’s body below the ankle that is used in order to stand and walk.,n05563266,foot//human foot//pes,"the part of the leg of a human being below the ankle joint; ""his bare feet projected from his trousers""; ""armored from head to foot"""
803,ankle,A joint formed where the foot and the leg meet.,n05578442,ankle//ankle joint//mortise joint//articulatio talocruralis,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
980,heel,The part of the human foot on the backside where it becomes the leg.,n05578095,heel,the back part of the human foot
318,footprint,The impression of the foot in a soft substance such as sand or snow.,n06645039,footprint//footmark//step,"a mark of a foot or shoe on a surface; ""the police made casts of the footprints in the soft earth outside the window"""
1389,toe,One of the extremities of the foot.,n05577410,toe,one of the digits of the foot
1257,wing,"The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.",n02151625,wing,a movable organ for flying (one of a pair)
1201,feather,"A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.",n01896031,feather//plume//plumage,the light horny waterproof structure forming the external covering of birds
1592,chest,The portion of the body from the base of the neck to the top of the abdomen; the thorax.,n05552607,thorax//chest//pectus,the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
1402,breast,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,n05554405,breast//bosom//knocker//boob//tit//titty,either of two soft fleshy milk-secreting glandular organs on the chest of a woman
796,nipple,"The projection of a mammary gland from which, on female mammals, milk can be secreted.",n05554653,nipple//mammilla//mamilla//pap//teat//tit,the small projection of a mammary gland
154,udder,An organ in female quadruped mammals which consists of mammary glands and has several teats.,n02370360,udder//bag,mammary gland of bovids (cows and sheep and goats)
1838,navel,A scar where the umbilical cord was attached.,n05556595,navel//umbilicus//bellybutton//belly button//omphalos//omphalus,"a scar where the umbilical cord was attached; ""you were not supposed to show your navel on television""; ""they argued whether or not Adam had a navel""; ""she had a tattoo just above her bellybutton"""
1223,heart,A muscular organ that pumps blood through the body.,n05388805,heart//pump//ticker,"the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body; ""he stood still, his heart thumping wildly"""
688,lung,A biological organ that extracts oxygen from the air.,n05387544,lung,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
1224,liver,"A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.",n05385534,liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
489,kidney,An organ in the body that produces urine.,n05332802,kidney,"either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine; ""urine passes out of the kidney through ureters to the bladder"""
1744,spleen,"A ductless vascular gland, located in the left upper abdomen near the stomach.",n05333467,spleen//lien,a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses
819,stomach,"An organ in the body, involved in digestion of food.",n05395690,stomach//tummy//tum//breadbasket,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
1991,intestines,The alimentary canal of an animal or human through which food passes after having passed all stomachs.,n05534333,intestine//bowel//gut,the part of the alimentary canal between the stomach and the anus
1681,waist,"In human beings, the part between the thorax and hips.",n05555688,waist//waistline,the narrowing of the body between the ribs and hips
1745,hip,The outward-projecting parts of the pelvis and top of the femur and the overlying tissue.,n05556325,hip,either side of the body below the waist and above the thigh
834,buttocks,The fleshy part of the human body that one sits on.,n05559256,buttocks//nates//arse//butt//backside//bum//buns//can//fundament//hindquarters//hind end//keister//posterior//prat//rear//rear end//rump//stern//seat//tail//tail end//tooshie//tush//bottom//behind//derriere//fanny//ass,"the fleshy part of the human body that you sit on; ""he deserves a good kick in the butt""; ""are you going to sit on your fanny and do nothing?"""
804,womb,"The major female reproductive organ of most mammals, including humans. It is a large muscle enveloping the phoetus during pregnancy.",n05519085,uterus//womb,a hollow muscular organ in the pelvic cavity of females; contains the developing fetus
797,testicles,"The male sex gland that produces sperm and male hormones, found in some types of animals and humans.",n05524615,testis//testicle//orchis//ball//ballock//bollock//nut//egg,"one of the two male reproductive glands that produce spermatozoa and secrete androgens; ""she kicked him in the balls and got away"""
1222,penis,The male sexual organ for copulation and urination; the tubular portion of the male genitalia (excluding the scrotum).,n05526384,penis//phallus//member,the male organ of copulation (`member' is a euphemism)
1028,yawn,"To open the mouth widely and take a long, deep breath because of tiredness or boredom.",v00007328,yawn,"utter a yawn, as from lack of oxygen or when one is tired; ""The child yawned during the long performance"""
162,hiccough,To have spasms of the diaphragm.,v00003826,hiccup//hiccough,"breathe spasmodically, and make a sound; ""When you have to hiccup, drink a glass of cold water"""
879,cough,"To force air from the lungs out the mouth, sometimes involuntarily, accompanied by a rough sound.",v00005815,cough,"exhale abruptly, as when one has a chest cold or congestion; ""The smoker coughs all day"""
1621,sneeze,"To expel air rapidly as a reflex, usually induced by an irritation in the nose.",v00004819,sneeze,"exhale spasmodically, as when an irritant entered one's nose; ""Pepper makes me sneeze"""
126,sweat (perspire),To secrete sweat.,v00067545,sweat//sudate//perspire,"excrete perspiration through the pores in the skin; ""Exercise makes one sweat"""
1440,spit,To forcefully evacuate saliva from the mouth.,v00101956,spit//ptyalize//ptyalise//spew//spue,"expel or eject (saliva or phlegm or sputum) from the mouth; ""The father of the victim spat at the alleged murderer"""
1278,vomit,To regurgitate the contents of the stomach.,v00076400,vomit//vomit up//purge//cast//sick//cat//be sick//disgorge//regorge//retch//puke//barf//spew//spue//chuck//upchuck//honk//regurgitate//throw up,"eject the contents of the stomach through the mouth; ""After drinking too much, the students vomited""; ""He purged continuously""; ""The patient regurgitated the food we gave him last night"""
1403,bite,Clamping the teeth hard on something.,v01445932,bite//seize with teeth,"to grip, cut off, or tear with or as if with the teeth or jaws; ""Gunny invariably tried to bite her"""
319,lick,To stroke with the tongue.,v01432176,lick//lap,"pass the tongue over; ""the dog licked her hand"""
268,dribble,To let saliva flow out of one’s mouth onto one’s chin.,v00102974,drivel//drool//slabber//slaver//slobber//dribble,"let saliva drivel from the mouth; ""The baby drooled"""
1585,sleep,To rest in a state of decreased consciousness and reduced metabolism.,v00014742,sleep//kip//slumber//log Z's//catch some Z's,be asleep
1983,snore,"To make a noise during sleep by vibration of soft respiratory tissues (soft palate, base of the tongue and pharyngeal walls), particularly during inhalation.",v00017031,snore//saw wood//saw logs,"breathe noisily during one's sleep; ""she complained that her husband snores"""
1920,dream (something),To experience while sleeping.,v02118242,dream,"experience while sleeping; ""She claims to never dream""; ""He dreamt a strange scene"""
1159,fart,To emit digestive gases through the anus.,v00101629,fart//break wind,expel intestinal gases through the anus
592,piss,To allow urine to flow from the bladder out of the body.,v00072012,make//urinate//piddle//puddle//micturate//piss//pee//pee-pee//make water//relieve oneself//take a leak//spend a penny//wee//wee-wee//pass water,"eliminate urine; ""Again, the cat had made on the expensive rug"""
676,shit (defecate),To excrete faeces from one's body through the anus.,v00074038,stool//defecate//shit//take a shit//take a crap//ca-ca//crap//make,"have a bowel movement; ""The dog had made in the flower beds"""
52,shiver,"To shake nervously, as if from fear.",v01888946,shudder//shiver//throb//thrill,"tremble convulsively, as from fear or excitement"
138,bathe,To clean oneself by immersion in water.,v00035603,bathe,"cleanse the entire body; ""bathe daily"""
1152,beget,(Especially of a male parent) to procreate or generate.,v00054628,beget//get//engender//father//mother//sire//generate//bring forth,"make children; ""Abraham begot Isaac""; ""Men often father children but don't recognize them"""
1090,be born,To start living.,v00360932,be born,"come into existence through birth; ""She was born on a farm"""
1123,pregnant,Carrying developing offspring within the body.,a00173220,pregnant,carrying developing offspring within the body or being about to produce new life
1087,conceive,To become pregnant.,v00054285,conceive,"become pregnant; undergo conception; ""She cannot conceive""; ""My daughter was conceived in Christmas Day"""
1417,kill,To put to death; to end a life.,v01325536,kill,"cause the death of, without intention; ""She was killed in the collision of three cars"""
767,corpse,A dead body.,n05218119,cadaver//corpse//stiff//clay//remains,"the dead body of a human being; ""the cadaver was intended for dissection""; ""the end of the police search was the discovery of a corpse""; ""the murderer confessed that he threw the stiff in the river""; ""honor comes to bless the turf that wraps their clay"""
1719,bury,To put in the ground and cover with earth.,v02456493,bury//entomb//inhume//inter//lay to rest,"place in a grave or tomb; ""Stalin was buried behind the Kremlin wall on Red Square""; ""The pharaohs were entombed in the pyramids""; ""My grandfather was laid to rest last Sunday"""
1773,grave,A place (commonly marked with a headstone) where one or more people are buried (usually in a coffin underneath the ground).,n03455033,grave//tomb,"a place for the burial of a corpse (especially beneath the ground and marked by a tombstone); ""he put flowers on his mother's grave"""
1601,weak,Lacking in force or ability.,a02324397,weak,"wanting in physical strength; ""a weak pillar"""
1364,healthy,In good physical and mental condition; free from disease.,a01170243,healthy,"having or indicating good health in body or mind; free from infirmity or disease; ""a rosy healthy baby""; ""staying fit and healthy"""
1847,sick,Whose health is altered.,a02541302,ill//sick,"affected by an impairment of normal physical or mental function; ""ill from the monotony of his suffering"""
1534,fever,A higher than normal temperature of a person (or generally a mammal).,n14365356,fever//febrility//febricity//pyrexia//feverishness,a rise in the temperature of the body; frequently a symptom of infection
1957,goiter,Enlargement of the thyroid gland.,n14199477,goiter//goitre//struma//thyromegaly,abnormally enlarged thyroid gland; can result from underproduction or overproduction of hormone or from a deficiency of iodine in the diet
102,common cold (disease),"A contagious, viral infectious disease of the upper respiratory system; common symptoms include cough, sore throat, runny nose, nasal congestion and sneezing.",n14145501,cold//common cold,"a mild viral infection involving the nose and respiratory passages (but not the lungs); ""will they never find a cure for the common cold?"""
1109,wound,"A type of injury in which in skin or tisue is torn, cut,  punctured or otherwise hurt.",n14183065,sore,an open skin infection
1148,bruise,A collection of blood in the body tissue outside the blood vessels,n14288871,bruise//contusion,an injury that doesn't break the skin but results in some discoloration
1903,swelling,Abnormal protuberance or localized enlargement.,n14315192,swelling//puffiness//lump,an abnormal protuberance or localized enlargement
148,itch,An unpleasant sensation on the skin that provokes the desire to scratch.,n05723563,itch//itchiness//itching,an irritating cutaneous sensation that produces a desire to scratch
1584,blister,"A small bubble on the skin, that contains watery fluid and is caused by heat, pressure or infection.",n05517837,blister//bulla//bleb,(pathology) an elevation of the skin filled with serous fluid
793,boil (of skin),"A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.",n14183210,boil//furuncle,a painful sore with a hard core filled with pus
1808,pus,A whitish-yellow or yellow substance produced during inflammatory responses of the body that can be found in regions of pyogenic bacterial infections.,n05417472,pus//purulence//suppuration//ichor//sanies//festering,a fluid product of inflammation
497,scar,A permanent mark on the skin resulting from a wound.,n14363483,scar//cicatrix//cicatrice,a mark left (usually on the skin) by the healing of injured tissue
499,cure,To remedy an illness using medical or medicamentous treatment; to provide a cure for.,v00081725,bring around//cure//heal,"provide a cure for, make healthy again; ""The treatment cured the boy's acne""; ""The quack pretended to heal patients but never managed to"""
597,physician,"A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.",n10020890,doctor//doc//physician//MD//Dr.//medico,"a licensed medical practitioner; ""I felt so bad I went to see my doctor"""
1372,medicine,A substance which specifically promotes healing.,n03740161,medicine//medication//medicament//medicinal drug,(medicine) something that treats or prevents or alleviates the symptoms of disease
655,poison,"A substance which, when ingested, inhaled, or absorbed, or when applied to, injected into, or developed within the body, in relatively small amounts, may cause injury, harm, or destruction to organs, tissue, or life.",n15032376,poison//toxicant//poisonous substance,any substance that causes injury or illness or death of a living organism
1757,tired,"In need of some rest or sleep, due to lack of sleep or as a result of hard work or physical activity.",a02431728,tired,"depleted of strength or energy; ""tired mothers with crying babies""; ""too tired to eat"""
168,rest,"To cease working, moving or thinking for some time in order to relieve fatigue.",v00014405,rest,be at rest
1564,lazy,Unwilling to do work or make an effort.,a00294579,faineant//indolent//lazy//otiose//slothful//work-shy,"disinclined to work or exertion; ""faineant kings under whose rule the country languished""; ""an indolent hanger-on""; ""too lazy to wash the dishes""; ""shiftless idle youth""; ""slothful employees""; ""the unemployed are not necessarily work-shy"""
1125,bald,Without hair on the head.,a00210848,bald//bald-headed//bald-pated,"lacking hair on all or most of the scalp; ""a bald pate""; ""a bald-headed gentleman"""
320,lame,"Moving with pain or difficulty on account of injury, defect or temporary obstruction of a function.",a01018788,crippled//halt//halting//lame//gimpy//game,"disabled in the feet or legs; ""a crippled soldier""; ""a game leg"""
996,deaf,"Not having the faculty of hearing, or only having a restricted capability to hear.",a00681930,deaf,lacking or deprived of the sense of hearing wholly or in part
1666,mute,Not making a sound.,a00151855,dumb//mute//silent,unable to speak because of hereditary deafness
1653,blind,Unable to see.,a02158826,blind//unsighted,"unable to see; ""a person is blind to the extent that he must devise alternative techniques to do efficiently those things he would do with sight if he had normal vision""--Kenneth Jernigan"
1463,drunk,Being in a temporary state in which one's physical and mental faculties are impaired due to excessive consumption of alcohol.,a00797299,intoxicated//drunk//inebriated,"stupefied or excited by a chemical substance (especially alcohol); ""a noisy crowd of intoxicated sailors""; ""helplessly inebriated"""
590,naked,Without clothing.,a00457998,bare//au naturel//naked//nude,"completely unclothed; ""bare bodies""; ""naked from the waist up""; ""a nude model"""
1336,eat,To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.,v01168468,eat,"take in solid food; ""She was eating a banana""; ""What did you eat for dinner last night?"""
256,food,A substance that can be ingested and utilized by the organism as a source of nutrition and energy.,n07555863,food//solid food,"any solid substance (as opposed to liquid) that is used as a source of nourishment; ""food and drink"""
269,cooked,Contrasting with 'raw'.,a00615757,cooked,having been prepared for eating by the application of heat
1959,raw,That has not been cooked (food).,a00619433,raw,not treated with heat to prepare it for eating
178,ripe,"(Of fruits, seeds, etc.) Having reached the stage of development suitable for harvesting and eating.",a01493173,ripe//mature,"fully developed or matured and ready to be eaten or used; ""ripe peaches""; ""full-bodied mature wines"""
1958,unripe,"That is not yet ripe (edible fruit), usually hard and sour.",a01493897,green//unripe//unripened//immature,"not fully developed or mature; not ripe; ""unripe fruit""; ""fried green tomatoes""; ""green wood"""
1728,rotten,"Having changed its colour, smell or composition (partially or completely), due to being attacked and decomposed by microorganisms (relating to organic matter).",a01070538,rotten,"having decayed or disintegrated; usually implies foulness; ""dead and rotten in his grave"""
1401,drink,To consume a liquid through the mouth.,v01170052,drink//imbibe,"take in liquids; ""The patient must drink several liters each day""; ""The children like to drink soda"""
199,famine,"A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.",n07315790,famine,a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
1421,suck,"To draw in a substance by creating a practical vacuum in the mouth, and as a result a difference in pressure.",v01169704,suck,"draw into the mouth by creating a practical vacuum in the mouth; ""suck the poison from the place where the snake bit""; ""suck on a straw""; ""the baby sucked on the mother's breast"""
321,chew,To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.,v01201089,chew//masticate//manducate//jaw,"chew (food); to bite and grind with the teeth; ""He jawed his bubble gum""; ""Chew your food and don't swallow it!""; ""The cows were masticating the grass"""
897,swallow,"The reflex in the human body that makes something pass from the mouth to the pharynx and into the esophagus, with the shutting of the epiglottis.",v01201856,swallow//get down,"pass through the esophagus as part of eating or drinking; ""Swallow the raw fish--it won't kill you!"""
129,choke,"To squeeze the neck in order to compress the carotide and/or trachea, possibly leading to unconsciousness or death.",v00077950,choke//strangle,constrict (someone's) throat and keep from breathing
1100,cook (something),To prepare a meal or a single dish.,v01664172,cook//fix//ready//make//prepare,"prepare for eating by applying heat; ""Cook me dinner, please""; ""can you make me an omelette?""; ""fix breakfast for the guests, please"""
792,boil (of liquid),To be at a temperature (as a liquid) where it moves into the gaseous phase.,v00375021,boil,"come to the boiling point and change from a liquid to vapor; ""Water boils at 100 degrees Celsius"""
2146,roast or fry,Preparing food by exposing it to open fire or to hot fat.,v00325328,fry,"cook on a hot surface using fat; ""fry the pancakes"""
183,bake,"To cook (something) in an oven, but not in fat.",v01663749,bake,"prepare with dry heat in an oven; ""bake a cake"""
1143,oven,"An enclosed heated compartment usually lined with a refractory material used for baking or drying substances, firing ceramics, heat-treating, etc.",n03862676,oven,kitchen appliance used for baking or roasting
854,kettle,A metal container used to boil any kind of liquid.,n03612814,kettle//boiler,a metal pot for stewing or boiling; usually has a lid
31,pan,"Cooking utensil relatively flat, having a handle, used to cook food such as meat, vegetables or eggs, usually in oil or butter.",n03880531,pan//cooking pan,cooking utensil consisting of a wide metal vessel
481,dish,Any kind of vessel for holding or serving meals.,n03206908,dish,"a piece of dishware normally used as a container for holding or serving food; ""we gave them a set of dishes for a wedding present"""
480,plate,A flat dish on which food is served or from which food is eaten.,n03959485,plate,dish on which food is served or from which food is eaten
1530,bowl,"A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items.",n02881193,bowl,a round vessel that is open at the top; used chiefly for holding food or liquids;
270,jug,A container for holding and pouring liquids with a handle and a spout.,n03950228,pitcher//ewer,an open vessel with a handle and a spout for pouring
476,cup,"A concave vessel for holding liquid, generally adorned with either a handle or a stem.",n03147509,cup,"a small open container usually used for drinking; usually has a handle; ""he put the cup back in the saucer""; ""the handle of the cup was missing"""
271,saucer,A small dish for placing a cup.,n04139291,saucer,a small shallow dish for holding a cup at the table
1378,spoon,"An implement for eating or serving, a small bowl with a long straight handle.",n04284002,spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
3210,knife (for eating),A knife used while eating food.,NA,NA,NA
1302,fork,A utensil with spikes used to put solid food into the mouth.,n03383948,fork,cutlery used for serving and eating food
272,tongs,"A tool that consists of two movable bars joined at one end, used to pick up an object.",n04450749,tongs//pair of tongs,any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below
1526,meal,"The act of eating food, usually at a specific time.",n07573696,meal//repast,the food served and eaten at one time
1322,breakfast,"The first meal of the day, usually eaten in the morning.",n07574602,breakfast,the first meal of the day (usually in the morning)
768,lunch,Meal usually eaten at midday.,n07575076,lunch//luncheon//tiffin//dejeuner,a midday meal
1833,dinner (supper),A meal that is eaten in the late afternoon or evening daily.,n07575726,dinner,"the main meal of the day served in the evening or at midday; ""dinner will be at 8""; ""on Sundays they had a large dinner when they returned from church"""
275,peel,To remove the skin from food or vegetables.,v01262936,skin//peel//pare,"strip the skin off; ""pare apples"""
3448,sieve or strain,To separate solids from each other by passing through a sieve or other straining device or to separate or isolate components from a liquid with the help of a filter.,NA,NA,NA
1767,scrape,To move an object against another object such that abrasion or minor cutting occurs.,v01308160,scrape//grate,"scratch repeatedly; ""The cat scraped at the armchair"""
2017,mix,To mix together different elements.,v00184117,mix//mix in,"add as an additional element or part; ""mix water into the drink"""
1368,bread,"A common food made mainly from flour, water and yeast and produced by kneading and baking a dough.",n07679356,bread//breadstuff//staff of life,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
273,dough,"A mixture of flour and water ready to be baked into bread, pastry etc.",n07860988,dough,a flour mixture stiff enough to knead or roll
274,knead,To press a dough many times with one's hands.,v01235355,knead//work,"make uniform; ""knead dough""; ""work the clay until it is soft"""
1594,flour,Ground or milled grain or cereal.,n07569106,flour,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
1033,grind,"To break something into small pieces by pressing it flat, or grinding it to powder.",v00331082,grind//mash//crunch//bray//comminute,"reduce to small pieces or particles by pounding or abrading; ""grind the spices in a mortar""; ""mash the garlic"""
636,mill,"A mill is a device that breaks solid materials into smaller pieces by grinding, crushing, or cutting.",n03765561,mill//grinder//milling machinery,machinery that processes materials by grinding or crushing
224,mortar,A bowl used to crush and grind ingredients with a pestle.,n03786901,mortar,a bowl-shaped vessel in which substances can be ground and mixed with a pestle
225,pestle,A heavy cylindrical object with a rounded end used for crushing and grinding.,n03919289,pestle,a club-shaped hand tool for grinding and mixing substances in a mortar
634,meat,"The edible flesh of animals, especially that of mammals.",n07649854,meat,the flesh of animals (including fishes and birds and snails) used as food
1874,sausage,"A length of intestine, stuffed with ground (organ) meat, and other ingredients. Instead of intestines, a different kind of wrapper can be used.",n07675627,sausage,highly seasoned minced meat stuffed in casings
1547,soup,"A cooked, liquid dish (made from meat or vegetables that are mixed with broth in a pot) that is often sold in tins.",n07583197,soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
924,vegetables,Any of various herbaceous plants having parts that are used as food.,n07707451,vegetable//veggie//veg,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
832,bean,Any of various leguminous plants grown for their edible seeds and pods.,n07724943,bean//edible bean,any of various edible seeds of plants of the family Leguminosae used for food
593,potato,"A tuberous plant, Solanum tuberosum, often eaten as a starchy vegetable, particularly in the Americas and Europe.",n07710616,potato//white potato//Irish potato//murphy//spud//tater,an edible tuber native to South America; a staple food of Ireland
1507,fruit,A botanical fruit that can be eaten raw used as food.,n13134947,fruit,the ripened reproductive body of a seed plant
1966,bunch,A group of things fastened or growing together.,n07959943,bunch//clump//cluster//clustering,"a grouping of a number of similar things; ""a bunch of trees""; ""a cluster of admirers"""
322,fig,"The fruit of the fig tree, pear-shaped and containing many small seeds.",n07753113,fig,fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried
920,grape,"A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.",n07758680,grape,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
191,nut,A hard-shelled seed.,n13136556,nut,usually large hard-shelled seed
1154,olive,"The small oval fruit of the olive tree, Olea europaea.",n12301445,olive,small ovoid fruit of the European olive tree; important food and source of oil
1484,oil (organic substance),Fat from animals or plants in a liquid form.,n14966667,oil,a slippery or viscous liquid or liquefiable substance not miscible with water
323,fat (organic substance),Esters of three fatty acid chains and the alcohol glycerol which form a semi-solid substance in room temperature and occur in animals and plants.,n14864360,fat,"a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides); ""pizza has too much fat"""
1274,salt,A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).,n07813107,salt//table salt//common salt,white crystalline form of especially sodium chloride used to season and preserve food
1385,pepper,"A spice prepared from the fermented, dried, unripe red berries of the pepper plant.",n07815588,pepper//peppercorn,pungent seasoning from the berry of the common pepper plant of East India; use whole or ground
942,honey,"A viscous, sweet substance produced from nectar or honeydew by bees.",n07858978,honey,a sweet yellow liquid produced by bees
862,sugar,"A sweet crystalline or powdered substance, white when pure, consisting of sucrose obtained mainly from sugar cane and sugar beets and used in many foods, drinks, and medicines to improve their taste.",n07859284,sugar//refined sugar,a white crystalline carbohydrate used as a sweetener and preservative
635,milk,"The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.",n07844042,milk,a white nutritious liquid secreted by mammals and used as food by human beings
93,draw milk,"To draw milk from (a mammal, especially a cow).",v00194170,milk,"take milk from female mammals; ""Cows need to be milked every morning"""
1569,cheese,A curdled or cultured milk product.,n07850329,cheese,a solid food prepared from the pressed curd of milk
1245,butter,"A soft, fatty foodstuff that is made by churning the cream of milk (most often cows milk).",n07848338,butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
731,beverage,Any one of various liquids for drinking.,n07881800,beverage//drink//drinkable//potable,"any liquid suitable for drinking; ""may I take your beverage order?"""
941,mead,Wine made of honey.,n07890750,mead,made of fermented honey and water
1524,wine,An alcoholic beverage made by fermenting juice of grapes.,n07891726,wine//vino,fermented juice (of grapes especially)
1639,beer,"An alcoholic beverage commonly fermented from barley malt, with hops or some other substance to impart a bitter flavor.",n07886849,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
744,egg,"Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.",n07840804,egg//eggs,oval reproductive body of a fowl (especially a hen) used as food
1556,yolk,"The yellow, spherical part of an egg that is surrounded by the white albumen, and serves as nutriment for the growing young.",n07841345,egg yolk//yolk,the yellow spherical part of an egg that is surrounded by the albumen
1895,clothes,All coverings designed to be worn on a person's body.,n02728440,apparel//wearing apparel//dress//clothes,"clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clothes at the same store""; ""fastidious about his dress"""
881,tailor,Someone who professionally manufactures clothing.,n10689564,tailor//seamster//sartor,a person whose occupation is making and altering garments
1616,cloth,"A woven fabric such as used in dressing, decorating, cleaning or other practical use.",n03309808,fabric//cloth//material//textile,"artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers; ""the fabric in the curtains was light and semitransparent""; ""woven cloth originated in Mesopotamia around 5000 BC""; ""she measured off enough material for a dress"""
964,wool,"The soft, curly hair that forms the fleece of sheep, lamas and other animals and which is used to produce clothing.",n15104217,wool,fiber sheared from animals (such as sheep) and twisted into yarn for weaving
1850,cotton,"Fiber obtained from plants of the genus Gossypium, used in making fabrics, cordage, and padding and for producing artificial fibers and cellulose.",n03115180,cotton,fabric woven from cotton fibers
1641,silk,"One of the finest textiles, obtained from cocoons of certain species of caterpillars; it is soft, very strong and absorbent and has a brilliant sheen.",n04219424,silk,a fabric made from the fine threads produced by certain insect larvae
325,felt,"A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.",n03326795,felt,a fabric made of compressed matted animal fibers
580,fur,The body-hair of an animal (excluding humans) or a piece of clothing made thereof.,n03404149,fur,a garment made of the dressed hairy coat of a mammal
