concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
227,fish,Animals,Person/Thing,Noun,1,68.812629,0.69583,75.805486,1226.27478,1.7094,0.00117,1274.695936,4.05,5,6.783971456
230,sweep,Basic actions and technology,Action/Process,Verb,1,8.019691,0.931494,23.18007,119.4483,0.77731,7.5e-5,277.662415,4.2,3.72,5.165505658
234,paddle,Basic actions and technology,Person/Thing,Noun,0.474166,1.821367,1.060313,5.946947,215.09579,1.8692,5.2e-5,83.358054,6.58,4.8,5.348989222
236,stepmother,Kinship,Person/Thing,Noun,0.870801,1.499999,0.630089,1.041801,126.8541,1.83531,5e-6,20.468704,6.33,4.23,4.099674318
239,flower,Agriculture and vegetation,Person/Thing,Noun,1,115.35385,0.428261,124.22029,332.90339,2.09255,0.001227,2203.797093,3.11,5,6.567422846
244,left,Spatial relations,Property,Adjective,1,157.540281,0.960643,385.032255,1452.62832,0.74941,2.19e-4,7469.89024,5.57164,3.7,3.999995013
245,broom,Basic actions and technology,Person/Thing,Noun,0.910693,5.842142,0.865953,4.601287,110.57778,1.00204,1.18e-4,88.697716,5.5,4.89,5.794184927
249,fog,The physical world,Person/Thing,Noun,1,19.35873,0.704862,11.72026,92.71543,0.55337,1.32e-4,218.629487,6.21,4.66,4.941017721
257,worship,Religion and belief,Action/Process,Verb,0.446299,22.578579,1.412715,30.12541,118.46056,1.15862,1e-4,459.210917,7,2.62,5.259894511
270,jug,Food and drink,Person/Thing,Noun,0.526217,6.801132,1.120737,18.159169,109.87899,0.67535,7.2e-5,364.876891,5.83,4.96,5.18484568
273,dough,Food and drink,Person/Thing,Noun,0.640683,52.374499,1.058091,36.419624,97.43265,0.39178,6.6e-5,511.420943,6.63,4.79,6.131387306
275,peel,Food and drink,Action/Process,Verb,1,4.211535,1.323341,21.05306,131.01099,0.81952,5e-5,220.706022,6.05,4.61,5.146180173
277,spindle,Clothing and grooming,Person/Thing,Noun,0.425543,0.489586,0.696459,0.998393,103.60538,0.85649,7e-6,17.205577,10.72,4.92,4.6442828
284,hoe,Agriculture and vegetation,Person/Thing,Noun,0.595436,3.641429,2.744763,33.728305,164.868,1.43261,2.6e-5,654.405221,8.72,4.74,5.37791961
288,forge,Basic actions and technology,Action/Process,Verb,0.274112,3.424448,0.733637,6.236336,89.50124,0.39115,2.5e-5,62.592702,9.8,4.04,4.311735181
300,rattle,Speech and language,Person/Thing,Noun,0.353344,1.494581,1.33383,5.889069,89.91303,0.39782,3.2e-5,54.879858,4.5,4.07,5.386789543
302,clan,Social and political relations,Person/Thing,Noun,0.708139,7.23204,0.968545,5.512863,669.18321,3.2311,1.7e-5,100.860279,11.05,3.46,3.789176437
