concepticon_id,name_clean
1029,jewel
1374,ring
1754,bracelet
1961,necklace
1860,bead
770,earring
3457,headband
3457,headdress
68,tattoo
332,handkerchief
332,rag
1021,towel
1475,comb
1821,brush
1043,braid
151,razor
1926,ointment
788,soap
1171,mirror
363,dwell
363,live
1252,house
1678,hut
403,garden-house
1316,tent
736,yard
736,court
334,cookhouse
1450,room
1567,door
1567,gate
80,doorpost
80,jamb
1596,lock
1012,latch
1012,door-bolt
1472,key
1375,window
1632,floor
933,wall
185,fireplace
859,stove
1305,chimney
1464,ladder
1663,bed
1044,pillow
806,blanket
1476,chair
1775,table
2131,lamp
2131,torch
1273,candle
745,shelf
205,trough
769,roof
279,thatch
280,ridgepole
829,rafter
1132,beam
281,post
281,pole
1227,board
876,arch
877,mason
1006,brick
1731,mortar
901,adobe
979,farmer
212,field
586,garden
1541,cultivate
1541,till
1690,fence
2002,ditch
1921,plow
1794,furrow
1418,dig
1176,spade
1901,shovel
284,hoe
337,fork
338,rake
748,sow
714,seed
190,mow
190,reap
2132,sickle
2132,scythe
285,thresh
223,threshing-floor
605,grain
1077,wheat
932,barley
23,rye
60,oats
506,maize
506,corn
926,rice
606,grass
342,hay
653,plant
1486,plant
670,root
3223,branch
628,leaf
239,flower
906,tree
644,oak
1950,beech
1855,birch
1740,pine
1915,fir
968,acorn
974,tobacco
1689,smoke
1124,pipe
1204,bark
345,sap
970,coconut
346,banyan
410,yam
925,tapioca
925,manioc
925,cassava
411,gourd
864,pumpkin
864,squash
1927,bamboo
33,nettle
641,mushroom
984,work
2004,bend
1470,fold
1917,tie
1917,bind
352,untie
1627,chain
1218,rope
1218,cord
760,knot
2133,strike
354,pound
1432,cut
155,chop
155,hew
3189,stab
1352,knife
356,scissors
356,shears
677,ax
290,adze
680,break
1437,split
1735,tear
291,flay
291,skin
1449,rub
1449,wipe
214,stretch
1455,pull
1913,press
1414,squeeze
1414,wring
1487,pour
1453,wash
230,sweep
245,broom
1361,tool
1042,carpenter
1840,build
1501,bore
1948,saw
1481,hammer
502,nail
1069,glue
1001,smith
1001,blacksmith
288,forge
1648,anvil
211,cast
1369,gold
759,silver
621,iron
627,lead
3217,tin
3217,tinplate
359,potter
289,mold
1399,clay
604,glass
3294,weave
3294,plait
1539,basket
195,mat
292,rug
293,netbag
1971,fan
360,fan
228,carve
914,sculptor
1002,statue
1979,chisel
647,paint
2001,paint
765,move
1113,wind
1113,wrap
827,roll
2866,drop
3199,twist
568,rise
501,raise
501,lift
1280,fall
2253,drip
1456,throw
702,catch
1909,shake
2003,flow
1088,sink
1574,float
1439,swim
119,dive
365,splash
787,sail
1441,fly
175,blow
3456,creep
3456,crawl
66,kneel
296,crouch
1324,slide
1324,slip
1829,jump
1829,leap
1135,kick
1879,dance
1443,walk
366,limp
1519,run
695,go
1102,climb
1446,come
1752,depart
485,disappear
956,flee
1085,follow
1047,pursue
1387,reach
1387,arrive
1778,approach
749,enter
700,carry
412,carry-in-hand
413,carry-on-shoulder
414,carry-on-head
415,carry-underarm
692,bring
1127,send
43,lead
741,drive
367,ride
1452,push
1452,shove
667,road
2252,path
1011,bridge
122,carriage
122,wagon
122,cart
710,wheel
1769,axle
14,yoke
740,ship
1844,boat
1970,canoe
416,outrigger
1664,raft
3137,oar
234,paddle
1849,row
108,rudder
184,mast
786,sail
1870,anchor
610,harbor
610,port
1922,land
773,have
684,own
684,possess
1749,take
855,seize
855,grasp
1448,hold
694,get
694,obtain
1477,keep
1477,retain
738,thing
1447,give
1997,preserve
2008,save
2008,rescue
681,destroy
1468,seek
719,find
3072,lose
1095,release
1559,money
1867,coin
712,rich
1674,poor
1934,beggar
1774,avaricious
1774,stingy
582,lend
1823,borrow
369,owe
1914,debt
718,pay
1081,account
1081,reckoning
873,tax
873,tribute
1122,wages
733,earn
1869,buy
1571,sell
2135,trade
2135,barter
1082,merchant
633,market
752,store
752,shop
657,price
1426,dear
1887,cheap
884,share
1098,weigh
1685,after
1686,behind
1816,beside
1882,before
1883,front
1606,inside
1606,in
762,outside
1485,under
1591,up
1591,above
723,place
998,put
1416,sit
1442,stand
987,remain
987,stay
838,remains
7,collect
7,gather
1743,join
1743,unite
1359,separate
1119,divide
1156,open
1046,shut
1046,close
761,cover
602,hide
602,conceal
1265,high
721,low
1753,top
690,bottom
742,end
372,pointed
863,edge
682,side
1019,right
244,left
1942,near
1406,far
1877,east
1817,west
1598,north
1595,south
479,grow
1506,measure
81,span
81,fathom
1202,large
1202,big
1246,small
1246,little
1203,long
711,tall
1645,short
1243,wide
1243,broad
1267,narrow
1244,thick
2249,thin
1593,deep
193,shallow
1633,flat
1404,straight
297,crooked
1071,hook
192,corner
1367,cross
850,square
1395,round
1467,circle
1845,sphere
1845,ball
1048,line
1667,hole
1558,like
1558,similar
1264,change
1493,one
1498,two
492,three
1500,four
493,five
1703,six
1704,seven
1705,eight
1483,nine
1515,ten
1706,eleven
1707,twelve
1709,fifteen
1710,twenty
1634,hundred
1843,thousand
1420,count
98,every
98,all
1198,much
1198,many
1992,more
1242,little
1242,few
1881,enough
1241,some
2023,multitude
2023,crowd
1429,full
1624,empty
779,part
779,piece
816,half
1580,alone
1580,only
728,first
1529,last
1384,second
1888,pair
1546,twice
1859,third
892,time
1789,age
1231,new
1207,young
1229,old
672,early
477,late
1376,now
1963,immediately
1631,swift
1631,fast
1631,quick
701,slow
754,hasten
754,hurry
425,retard
425,delay
1186,last
1186,endure
743,end
1766,finish
1928,cease
1928,stop
790,ready
1676,always
1852,often
1544,sometimes
703,soon
418,long-time
1656,never
204,again
1225,day
1233,night
729,dawn
1339,morning
12,noon
12,midday
1807,afternoon
1629,evening
1283,today
1329,tomorrow
1179,day-after-tomorrow
1174,yesterday
1180,day-before-yesterday
1353,hour
1323,clock
1323,timepiece
1469,week
1699,Sunday
1697,Monday
1695,Tuesday
1694,Wednesday
1693,Thursday
1692,Friday
1700,Saturday
1370,month
1226,year
1471,winter
1537,spring
1342,summer
1276,autumn
691,season
1587,smell
375,sniff
1586,smell
376,fragrant
42,stinking
21,taste
717,sweet
1091,salty
887,bitter
1906,acid
1906,sour
70,brackish
1408,hear
1608,listen
1811,sound
1811,noise
377,loud
1409,see
1819,look
1039,show
708,shine
679,bright
1613,color
250,light
706,dark
1335,white
163,black
156,red
837,blue
1425,green
1424,yellow
1892,touch
378,pinch
1079,feel
1884,hard
1856,soft
1923,rough
1234,smooth
1396,sharp
379,blunt
379,dull
1210,heavy
1052,light
1726,wet
1726,damp
1398,dry
1286,hot
1232,warm
1287,cold
704,clean
1230,dirty
1230,soiled
380,wrinkled
811,soul
811,spirit
1572,surprised
1572,astonished
720,luck
56,misfortune
1495,joyful
1495,glad
1495,happy
1355,laugh
1451,smile
1413,play
923,love
578,kiss
928,embrace
1783,pain
1668,grief
1668,sorrow
1668,sadness
1000,anxiety
1000,worry
1875,regret
1875,sorry
1141,pity
1839,cry
1839,weep
1651,tear
716,groan
1607,hate
82,anger
40,envy
40,jealousy
1776,shame
174,proud
1779,dare
3,brave
781,fear
781,fright
1810,danger
1784,desire
1784,want
1750,choose
100,faithful
1657,true
601,lie
13,deceit
1528,forgive
1035,good
1292,bad
1725,right
1725,correct
1390,wrong
134,fault
1293,mistake
1293,error
381,blame
1687,praise
1427,beautiful
1548,ugly
2018,greedy
1310,clever
1562,mind
1415,think
1513,think
1890,believe
1536,understand
1410,know
1932,guess
117,imitate
1521,seem
1609,idea
1609,notion
698,wise
1518,foolish
1518,stupid
1899,insane
1899,crazy
504,learn
1929,study
709,teach
753,pupil
1038,teacher
673,school
707,remember
1523,forget
989,clear
989,plain
1764,obscure
1121,secret
509,sure
509,certain
1626,explain
1162,intention
1162,purpose
860,cause
1308,doubt
1841,suspect
1902,betray
643,need
643,necessity
686,easy
584,difficult
1812,try
1812,attempt
488,way
488,manner
1577,and
1157,because
1459,if
1014,or
1268,yes
1268,affirmative
1269,no
1269,negative
1239,how
1236,what
1238,when
1237,where
727,which
1235,who
1270,why
1363,voice
1261,sing
715,shout
55,whisper
128,mumble
1025,whistle
298,shriek
298,screech
526,howl
1623,speak
1623,talk
1866,stutter
1866,stammer
1458,say
1711,tell
1115,speech
48,silent
1307,language
1599,word
1405,name
1309,ask
1275,answer
2022,admit
2022,confess
755,deny
1828,ask
1828,request
1675,promise
49,refuse
83,forbid
299,rebuke
299,scold
1084,call
180,call
9,announce
1192,threaten
101,boast
1672,write
724,read
648,paper
794,pen
963,book
1045,poet
777,flute
908,drum
2136,horn
2136,trumpet
300,rattle
1300,country
1391,city
1391,town
930,village
1010,boundary
789,people
302,tribe
302,clan
301,chief
301,chieftain
1296,staff
1846,rule
1846,govern
1508,king
1508,ruler
1306,queen
482,noble
482,nobleman
1032,citizen
1032,subject
383,master
812,slave
255,servant
384,freeman
1998,command
1998,order
1635,obey
1325,friend
1325,companion
1358,enemy
1332,neighbor
791,stranger
1782,guest
1545,host
1897,help
1897,aid
1747,custom
1848,strife
1848,quarrel
2024,conspiracy
2024,plot
1831,meet
1610,prostitute
1423,fight
579,war
579,battle
1338,peace
1561,army
1941,soldier
951,weapons
951,arms
1763,club
386,battle-ax
387,sling
994,bow
977,arrow
945,spear
1535,sword
1061,armor
1680,helmet
1064,shield
1938,fortress
1671,tower
783,victory
782,defeat
722,attack
1330,defend
421,retreat
1696,surrender
1072,captive
1072,prisoner
1940,guard
1940,sentinel
1022,booty
1022,spoils
65,ambush
1858,fisherman
1074,fishhook
388,fishnet
2013,bait
1435,hunt
1172,shoot
161,miss
1075,trap
1170,trap
1062,law
1068,court
1818,judge
1067,judgment
861,judge
2020,plaintiff
1034,defendant
1144,witness
1939,swear
1712,oath
1814,accuse
484,condemn
983,convict
988,acquit
1682,guilty
90,innocent
390,penalty
390,punishment
218,fine
1281,prison
1281,jail
845,murder
902,adultery
953,rape
1889,arson
1792,perjury
713,steal
1160,thief
661,religion
911,temple
911,church
853,altar
1103,sacrifice
1103,offering
257,worship
24,pray
852,priest
1702,holy
1702,sacred
304,preach
391,bless
8,curse
303,fast
1565,heaven
878,hell
1973,demon
1945,idol
392,magic
392,witchcraft
392,sorcery
2137,sorcerer
2137,witch
3206,fairy
3206,elf
1175,ghost
1175,phantom
107,omen
107,portent
1662,cape
646,ash
1801,child
266,scale
95,midge
1604,temples
797,testicles
592,piss
676,shit
1364,healthy
1847,ill
1957,goitre
1463,drunk
1043,plait
1921,plough
337,pitchfork
2133,hit
2133,beat
677,axe
289,mould
3294,braid
1752,leave
1081,bill
1426,expensive
425,late
1276,fall
1613,colour
1899,mad
1332,neighbour
386,battle-axe
1061,armour
1818,adjudicate
