concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold
259,rough,The physical world,Property,Adjective,0.739741
262,he or she or it,Kinship,Other,Function word,0.92253
263,herdsman,Animals,Person/Thing,Noun,0.802759
265,fowl,Animals,Person/Thing,Noun,0.670677
266,scale,Animals,Person/Thing,Noun,0.933011
267,nit,Animals,Person/Thing,Noun,0.920647
268,dribble,The body,Action/Process,Verb,0.973104
269,cooked,Food and drink,Property,Adjective,0.974618
270,jug,Food and drink,Person/Thing,Noun,0.861458
271,saucer,Food and drink,Person/Thing,Noun,0.813695
272,tongs,Food and drink,Person/Thing,Noun,0.938227
273,dough,Food and drink,Person/Thing,Noun,0.898859
274,knead,Food and drink,Action/Process,Verb,1
275,peel,Food and drink,Action/Process,Verb,1
277,spindle,Clothing and grooming,Person/Thing,Noun,0.835049
278,awl,Clothing and grooming,Person/Thing,Noun,0.749051
279,thatch,The house,Person/Thing,Noun,0.668091
280,ridgepole,The house,Person/Thing,Noun,0.807706
281,post,The house,Person/Thing,Noun,1
284,hoe,Agriculture and vegetation,Person/Thing,Noun,0.903592
285,thresh,Agriculture and vegetation,Action/Process,Verb,0.833354
288,forge,Basic actions and technology,Action/Process,Verb,0.645515
289,mold,Basic actions and technology,Action/Process,Verb,0.878946
290,adze,Basic actions and technology,Person/Thing,Noun,0.713434
291,pull off,Basic actions and technology,Action/Process,Verb,0.991453
292,rug,Basic actions and technology,Person/Thing,Noun,0.763662
293,netbag,Basic actions and technology,Person/Thing,Noun,0.604414
296,crouch,Motion,Action/Process,Verb,1
297,crooked,Spatial relations,Property,Adjective,1
298,shriek,Speech and language,Action/Process,Verb,0.962448
299,scold,Speech and language,Action/Process,Verb,0.983394
300,rattle,Speech and language,Person/Thing,Noun,0.730617
301,chieftain,Social and political relations,Person/Thing,Noun,0.936404
302,clan,Social and political relations,Person/Thing,Noun,0.924005
303,abstain from food,Religion and belief,Action/Process,Verb,0.894081
304,preach,Religion and belief,Action/Process,Verb,0.791602
307,hawk,Animals,Person/Thing,Noun,0.927325
309,opossum,Animals,Person/Thing,Noun,0.520193
318,footprint,The body,Person/Thing,Noun,1
319,lick,The body,Action/Process,Verb,1
320,lame,The body,Property,Adjective,0.976033
321,chew,Food and drink,Action/Process,Verb,1
322,fig,Food and drink,Person/Thing,Noun,0.696146
323,fat,The body,Person/Thing,Noun,0.98504
325,felt,Clothing and grooming,Person/Thing,Noun,0.494216
326,cloak,Clothing and grooming,Person/Thing,Noun,0.560511
327,poncho,Clothing and grooming,Person/Thing,Noun,0.398646
328,grass-skirt,Clothing and grooming,Person/Thing,Noun,0.195144
329,stocking,Clothing and grooming,Person/Thing,Noun,1
332,rag,Clothing and grooming,Person/Thing,Noun,0.968788
334,cookhouse,The house,Person/Thing,Noun,0.81316
337,pitchfork,Agriculture and vegetation,Person/Thing,Noun,0.758403
338,rake,Agriculture and vegetation,Person/Thing,Noun,0.892115
342,hay,Agriculture and vegetation,Person/Thing,Noun,0.8754
345,sap,Agriculture and vegetation,Person/Thing,Noun,0.976033
346,banyan,Agriculture and vegetation,Person/Thing,Noun,0.344225
352,untie,Basic actions and technology,Action/Process,Verb,1
354,pound,Basic actions and technology,Action/Process,Verb,0.976163
356,shears,Basic actions and technology,Person/Thing,Noun,0.984362
359,potter,Basic actions and technology,Person/Thing,Noun,0.702276
360,fan,Basic actions and technology,Action/Process,Verb,0.957445
363,dwell,The house,Action/Process,Verb,1
365,splash,Motion,Action/Process,Verb,0.973707
366,limp,Motion,Action/Process,Verb,0.975883
367,ride,Motion,Action/Process,Verb,0.87839
369,owe,Possession,Action/Process,Verb,0.925113
372,pointed,Spatial relations,Property,Adjective,0.98504
375,sniff,Sense perception,Action/Process,Verb,1
376,fragrant,Sense perception,Property,Adjective,1
377,loud,Sense perception,Property,Adjective,1
378,pinch,Sense perception,Action/Process,Verb,1
379,blunt,Sense perception,Property,Adjective,0.938041
380,wrinkled,Sense perception,Property,Adjective,0.984614
381,blame,Emotions and values,Person/Thing,Noun,0.912469
383,master,Social and political relations,Person/Thing,Noun,0.862054
