concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_ids
1644,relatives,Kinship,Person/Thing,Noun,0.976042
194,family,Kinship,Person/Thing,Noun,0.868091
1209,i,Kinship,Other,Function word,0.988167
1215,thou,Kinship,Other,Function word,0.988167
262,he or she or it,Kinship,Other,Function word,0.959411
1212,we,Kinship,Other,Function word,0.820646
1131,we,Kinship,Other,Function word,0.577077
1130,we,Kinship,Other,Function word,0.557395
1213,you,Kinship,Other,Function word,0.983842
817,they,Kinship,Other,Function word,0.959411
619,animal,Animals,Person/Thing,Noun,0.921842
2263,male,Animals,Property,Adjective,0.919715
2262,female,Animals,Property,Adjective,0.911927
631,livestock,Animals,Person/Thing,Noun,0.743275
649,pasture,Animals,Person/Thing,Noun,0.749424
263,herdsman,Animals,Person/Thing,Noun,0.782864
851,stable,Animals,Person/Thing,Noun,0.732555
1153,cattle,Animals,Person/Thing,Noun,0.84273
1008,bull,Animals,Person/Thing,Noun,0.867157
1169,ox,Animals,Person/Thing,Noun,0.734976
1007,cow,Animals,Person/Thing,Noun,0.947046
1989,calf,Animals,Person/Thing,Noun,0.843792
1331,sheep,Animals,Person/Thing,Noun,0.854118
1344,ram,Animals,Person/Thing,Noun,0.714446
1345,ewe,Animals,Person/Thing,Noun,0.726149
820,lamb,Animals,Person/Thing,Noun,0.720515
1348,boar,Animals,Person/Thing,Noun,0.85131
1351,sow,Animals,Person/Thing,Noun,0.855601
1337,pig,Animals,Person/Thing,Noun,0.975599
1502,goat,Animals,Person/Thing,Noun,0.832451
2475,male goat,Animals,Person/Thing,Noun,0.692611
1972,young goat,Animals,Person/Thing,Noun,0.680194
615,horse,Animals,Person/Thing,Noun,0.951137
936,stallion,Animals,Person/Thing,Noun,0.781576
938,mare,Animals,Person/Thing,Noun,0.808028
1647,foal,Animals,Person/Thing,Noun,0.778429
1862,donkey,Animals,Person/Thing,Noun,0.769466
890,mule,Animals,Person/Thing,Noun,0.676992
265,fowl,Animals,Person/Thing,Noun,0.689035
1511,rooster,Animals,Person/Thing,Noun,0.950037
1514,hen,Animals,Person/Thing,Noun,0.950018
1318,chicken,Animals,Person/Thing,Noun,0.959845
1187,goose,Animals,Person/Thing,Noun,0.670131
1360,duck,Animals,Person/Thing,Noun,0.940747
539,nest,Animals,Person/Thing,Noun,0.966357
937,bird,Animals,Person/Thing,Noun,0.974006
950,seagull,Animals,Person/Thing,Noun,0.480216
758,heron,Animals,Person/Thing,Noun,0.74683600000000006
1905,eagle,Animals,Person/Thing,Noun,0.723318
307,hawk,Animals,Person/Thing,Noun,0.879024
1185,vulture,Animals,Person/Thing,Noun,0.778943
1793,bat,Animals,Person/Thing,Noun,0.970717
882,parrot,Animals,Person/Thing,Noun,0.90288
913,crow,Animals,Person/Thing,Noun,0.719523
1853,dove,Animals,Person/Thing,Noun,0.902424
735,owl,Animals,Person/Thing,Noun,0.923888
2009,dog,Animals,Person/Thing,Noun,1
1136,rabbit,Animals,Person/Thing,Noun,0.888736
1208,cat,Animals,Person/Thing,Noun,1
2139,muroid,Animals,Person/Thing,Noun,0.988985
227,fish,Animals,Person/Thing,Noun,1
213,fin,Animals,Person/Thing,Noun,0.781036
266,scale,Animals,Person/Thing,Noun,0.877293
598,shell,Animals,Person/Thing,Noun,0.86282
1110,shark,Animals,Person/Thing,Noun,0.401297
1479,dolphin,Animals,Person/Thing,Noun,0.469069
957,whale,Animals,Person/Thing,Noun,0.432587
522,wolf,Animals,Person/Thing,Noun,0.678995
1386,lion,Animals,Person/Thing,Noun,0.775695
1820,bear,Animals,Person/Thing,Noun,0.651271
1312,fox,Animals,Person/Thing,Noun,0.799267
1936,deer,Animals,Person/Thing,Noun,0.940371
1350,monkey,Animals,Person/Thing,Noun,0.864103
1290,elephant,Animals,Person/Thing,Noun,0.581304
1871,camel,Animals,Person/Thing,Noun,0.511968
620,insect,Animals,Person/Thing,Noun,0.6426
267,nit,Animals,Person/Thing,Noun,0.87503
232,flea,Animals,Person/Thing,Noun,0.920092
1974,centipede,Animals,Person/Thing,Noun,0.824149
1538,scorpion,Animals,Person/Thing,Noun,0.84038
1575,cockroach,Animals,Person/Thing,Noun,0.815485
587,ant,Animals,Person/Thing,Noun,0.95001
843,spider,Animals,Person/Thing,Noun,0.986095
665,bee,Animals,Person/Thing,Noun,0.964211
1931,beeswax,Animals,Person/Thing,Noun,0.816271
88,beehive,Animals,Person/Thing,Noun,0.797953
1517,wasp,Animals,Person/Thing,Noun,0.947466
1504,fly,Animals,Person/Thing,Noun,1
95,sandfly,Animals,Person/Thing,Noun,0.82481
1509,mosquito,Animals,Person/Thing,Noun,0.938419
1219,worm,Animals,Person/Thing,Noun,0.943511
730,snake,Animals,Person/Thing,Noun,0.988389
206,firefly,Animals,Person/Thing,Noun,0.779058
1791,butterfly,Animals,Person/Thing,Noun,0.974039
607,grasshopper,Animals,Person/Thing,Noun,0.899467
1543,snail,Animals,Person/Thing,Noun,0.902246
503,frog,Animals,Person/Thing,Noun,0.970504
632,lizard,Animals,Person/Thing,Noun,0.942617
1857,crocodile,Animals,Person/Thing,Noun,0.80731
112,turtle,Animals,Person/Thing,Noun,0.895728
1480,body,The body,Person/Thing,Noun,0.995675
763,skin,The body,Person/Thing,Noun,1
2259,flesh,The body,Person/Thing,Noun,1
2648,hair,The body,Person/Thing,Noun,1
678,beard,The body,Person/Thing,Noun,0.988985
576,dandruff,The body,Person/Thing,Noun,0.749137
946,blood,The body,Person/Thing,Noun,1
525,blood vessel,The body,Person/Thing,Noun,0.897203
1394,bone,The body,Person/Thing,Noun,1
801,rib,The body,Person/Thing,Noun,0.99027
1393,horn,The body,Person/Thing,Noun,0.97819
1220,tail,The body,Person/Thing,Noun,1
1291,back,The body,Person/Thing,Noun,1
805,spine,The body,Person/Thing,Noun,0.965362
1256,head,The body,Person/Thing,Noun,1
1604,temples,The body,Person/Thing,Noun,0.716313
1605,skull,The body,Person/Thing,Noun,0.885123
1583,brain,The body,Person/Thing,Noun,0.99186
1560,face,The body,Person/Thing,Noun,1
123,forehead,The body,Person/Thing,Noun,0.988985
798,jaw,The body,Person/Thing,Noun,0.941048
1730,cheek,The body,Person/Thing,Noun,0.982916
1510,chin,The body,Person/Thing,Noun,0.914378
1248,eye,The body,Person/Thing,Noun,1
1173,eyebrow,The body,Person/Thing,Noun,0.988985
17,eyelid,The body,Person/Thing,Noun,0.914499
1540,eyelash,The body,Person/Thing,Noun,0.949595
1655,blink,The body,Action/Process,Verb,0.882918
1247,ear,The body,Person/Thing,Noun,0.988289
18,earlobe,The body,Person/Thing,Noun,0.714196
32,earwax,The body,Person/Thing,Noun,0.766174
1221,nose,The body,Person/Thing,Noun,1
1178,nostril,The body,Person/Thing,Noun,0.92569
208,nasal mucus,The body,Person/Thing,Noun,0.945816
674,mouth,The body,Person/Thing,Noun,1
73,beak,The body,Person/Thing,Noun,0.953106
478,lip,The body,Person/Thing,Noun,0.999149
1205,tongue,The body,Person/Thing,Noun,1
1380,tooth,The body,Person/Thing,Noun,1
139,gums,The body,Person/Thing,Noun,0.88096
1049,molar tooth,The body,Person/Thing,Noun,0.844306
1333,neck,The body,Person/Thing,Noun,0.993932
1346,throat,The body,Person/Thing,Noun,0.996077
1482,shoulder,The body,Person/Thing,Noun,1
172,shoulderblade,The body,Person/Thing,Noun,0.856392
1994,collarbone,The body,Person/Thing,Noun,0.717564
1673,arm,The body,Person/Thing,Noun,1
1886,armpit,The body,Person/Thing,Noun,0.967061
981,elbow,The body,Person/Thing,Noun,0.981004
799,wrist,The body,Person/Thing,Noun,0.893927
1277,hand,The body,Person/Thing,Noun,1
1303,finger,The body,Person/Thing,Noun,0.996179
1781,thumb,The body,Person/Thing,Noun,0.950336
1258,fingernail,The body,Person/Thing,Noun,1
