concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
185,fireplace,The house,Person/Thing,Noun,0.947643,0.748127,6.771202,0.411286,7.075565,112.5833,0.81841,7.5e-5,136.754672,7.37,4.68,4.931168776
191,nut,Food and drink,Person/Thing,Noun,0.873752,0.640218,14.474245,0.786611,44.696153,166.51099,1.24204,4.12e-4,862.652032,5.21,4.52,5.694156022
192,corner,Spatial relations,Person/Thing,Noun,0.976504,0.91131,39.033411,0.798368,81.173655,135.61801,0.66021,1.15e-4,1595.965589,5.21,4.61,4.542383472
193,shallow,Spatial relations,Property,Adjective,0.941263,0.933707,6.421895,0.78137,8.79743,93.19313,0.44587,5.8e-5,171.165826,7,3.45,4.28255122
194,family,Kinship,Person/Thing,Noun,0.949236,0.868091,265.232502,0.473929,526.44226,1010.71718,1.5211,0.001126,9719.964402,3.38,4.23,5.783979839
195,mat,Basic actions and technology,Person/Thing,Noun,0.823681,0.797745,24.833057,2.292242,13.890679,186.76523,1.26181,6.8e-5,264.609908,4.62,4.83,5.709829743
199,famine,Agriculture and vegetation,Person/Thing,Noun,0.815286,0.813541,13.918429,3.000861,3.096464,124.08123,1.4651,4.1e-5,59.329576,10,3.55,3.789515791
204,again,Time,Other,Function word,0.98504,0.978433,1013.966094,1.013639,710.971247,2582.4957,0.79869,2.05e-4,13738.059923,5.78478,2,3.083185936
205,trough,The house,Person/Thing,Noun,0.885344,0.792589,1.068724,0.811901,1.446946,96.33175,0.62641,1.4e-5,28.478196,7,4.56,4.256112083
212,field,Agriculture and vegetation,Person/Thing,Noun,1,0.942861,81.70152,0.876019,114.554692,651.42906,1.3636,5.53e-4,2190.447938,6.1,4.26,5.163551851
213,fin,Animals,Person/Thing,Noun,0.868308,0.781036,22.453596,2.625202,5.295821,92.12616,0.45235,3.3e-5,95.817265,7.3,4.76,4.147179467
214,stretch,Basic actions and technology,Action/Process,Verb,1,0.93818,19.416424,0.851705,47.199369,99.51308,0.66881,1.63e-4,593.592406,5.47,3.62,5.339015604
221,fire,The physical world,Person/Thing,Noun,1,1,104.934837,0.555196,170.377858,896.58612,0.81104,0.001493,2602.195194,3.25,4.68,6.420173987
224,mortar,Food and drink,Person/Thing,Noun,0.923968,0.865276,1.332243,1.000596,2.66238,107.78102,0.63469,2.9e-5,49.540196,11.9,4.48,4.278054674
227,fish,Animals,Person/Thing,Noun,1,1,68.812629,0.69583,75.805486,1226.27478,1.7094,0.00117,1274.695936,4.05,5,6.783971456
228,carve,Basic actions and technology,Action/Process,Verb,0.950288,0.725765,6.592934,0.93983,11.73473,98.61779,0.83796,1.7e-5,52.803322,6.35,3.69,4.91346759
230,sweep,Basic actions and technology,Action/Process,Verb,1,0.988985,8.019691,0.931494,23.18007,119.4483,0.77731,7.5e-5,277.662415,4.2,3.72,5.165505658
234,paddle,Basic actions and technology,Person/Thing,Noun,0.797269,0.650669,1.821367,1.060313,5.946947,215.09579,1.8692,5.2e-5,83.358054,6.58,4.8,5.348989222
236,stepmother,Kinship,Person/Thing,Noun,0.960595,0.868059,1.499999,0.630089,1.041801,126.8541,1.83531,5e-6,20.468704,6.33,4.23,4.099674318
239,flower,Agriculture and vegetation,Person/Thing,Noun,1,0.988985,115.35385,0.428261,124.22029,332.90339,2.09255,0.001227,2203.797093,3.11,5,6.567422846
244,left,Spatial relations,Property,Adjective,1,0.988985,157.540281,0.960643,385.032255,1452.62832,0.74941,2.19e-4,7469.89024,5.57164,3.7,3.999995013
245,broom,Basic actions and technology,Person/Thing,Noun,0.974634,0.959851,5.842142,0.865953,4.601287,110.57778,1.00204,1.18e-4,88.697716,5.5,4.89,5.794184927
249,fog,The physical world,Person/Thing,Noun,1,0.958086,19.35873,0.704862,11.72026,92.71543,0.55337,1.32e-4,218.629487,6.21,4.66,4.941017721
256,food,Food and drink,Person/Thing,Noun,0.976504,0.983884,185.378711,0.622877,414.202681,1398.74315,0.80023,0.003691,7440.225452,3.25,4.8,7.185318072
257,worship,Religion and belief,Action/Process,Verb,0.858445,0.723285,22.578579,1.412715,30.12541,118.46056,1.15862,1e-4,459.210917,7,2.62,5.259894511
262,he or she or it,Kinship,Other,Function word,0.92253,0.959411,19063.573653,0.598664,17036.744014,63212.777,0.33837,2.16e-4,241537.822605,3.568124,3.93,4.740227751
268,dribble,The body,Action/Process,Verb,0.973104,0.814665,8.570188,1.151357,7.393893,90.76323,0.42008,3.1e-5,80.094927,6.11,4.61,4.752670293
