concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens,tax,freq_subtitleus,cd_subtitleus,freq_german,freq_spanish,freq_bbc,freq_cbeebies,freq_cbbc,freq_bnc,cd_bbc,cd_cbeebies,cd_cbbc,known_percentage,prevalence,valence_warriner,arousal_warriner,dominance_warriner,perceptual_max,perceptual_aggregated,action_max,action_aggregated,sensor_max,valence_mohammad,arousal_mohammad,dominance_mohammad
117,imitate,Cognition,Action/Process,Verb,1,0.877582,8.541662,0.798123,4.760451,93.47934,0.52901,1.9e-5,45.683773,9.2,2.66,5.121262668,2,1.823504,86.946951,1.299228,3.004757,1.170011,0.512927,1.542646,2.697373,48.038081,5.411255,36.114121,0.992593,2.246583,5.44,3.95,5.04,3.631579,4.3218,2.714286,3.770282,3.631579,0.469,0.561,0.336
119,dive,Motion,Action/Process,Verb,0.893648,0.849052,13.066534,0.724883,20.980713,96.23178,0.47322,8e-5,243.547909,7.21,4.03,5.086416471,2,12.842961,364.29672,8.070962,2.499958,18.011234,28.381983,31.44059,6.975237,402.646462,207.431457,458.649332,0.992462,2.242569,5.81,3.79,5.75,4.142857,4.379059,2.578947,3.624634,4.142857,0.583,0.531,0.5
123,forehead,The body,Person/Thing,Noun,1,0.988985,15.76984,0.848405,8.580388,104.58437,0.49928,3.2e-5,168.199347,5.58,4.9,5.640401761,6,7.862637,370.900286,11.417459,142.882218,3.594314,5.129274,4.627937,13.982084,132.323078,37.878788,95.70242,1,2.575829,5.04,3.14,6.5,4.411765,4.597059,4.263158,4.349687,4.411765,0.47,0.308,0.556
127,extinguish,The physical world,Action/Process,Verb,1,0.943375,2.830909,1.111967,1.012862,95.74647,0.57003,1.1e-5,15.722338,8.95,3.47,3.838858181,0,0.862733,45.124367,10.8269,14.543025,0.57509,0.170976,0.514215,1.053661,22.490556,1.803752,10.834236,0.989177,2.151604,4.65,4.91,5.47,2.777778,2.829448,2.789474,3.237091,2.789474,0.24,0.576,0.482
129,choke,Food and drink,Action/Process,Verb,0.96523,0.907925,6.926838,0.940285,17.247593,91.47426,0.47887,1.19e-4,163.749629,6.11,4.34,5.97343478,3,6.490107,300.46225,5.826841,1.706702,2.40943,0.683903,2.938373,2.771129,84.721707,7.215007,63.199711,0.994521,2.310702,2.42,5.3,3.74,3.333333,4.126488,4.05,4.651632,4.05,0.167,0.788,0.676
133,weave,Clothing and grooming,Action/Process,Verb,0.928485,0.956403,3.822747,0.960932,14.223476,111.55583,0.53011,4.6e-5,196.084248,9.89,4.2,4.94601611,2,2.078403,106.757649,0.629929,1.442283,4.005801,29.578813,7.713229,3.487619,132.323078,272.366522,83.062477,0.995074,2.330994,5.41,3.1,6.36,3.791667,4.14212,3.363636,3.682257,3.791667,0.604,0.265,0.172
134,fault,Emotions and values,Person/Thing,Noun,0.896983,0.769765,11.513525,1.043223,37.59165,129.53429,1.2335,7e-5,730.05043,6.94,2.41,3.610441106,6,104.13583,3414.043584,160.474349,211.510874,56.408427,56.592989,79.482987,37.004582,1525.645785,432.900433,1332.611051,0.997636,2.440158,3.53,4.02,4.02,2.263158,2.883903,2.736842,2.847078,2.736842,0.188,0.558,0.184
138,bathe,The body,Action/Process,Verb,1,0.98497,45.10601,2.235484,9.810292,137.26293,1.39495,2e-5,48.353604,5,4.19,7.041937436,5,2.529377,127.668941,9.724525,1.85093,1.27908,0.683903,1.763024,1.591028,48.911501,7.215007,39.725533,0.962406,1.725507,7.5,3.15,6.5,4.157895,5.402238,3.8,5.605922,4.157895,0.677,0.294,0.371
156,red,Sense perception,Property,Adjective,1,1,151.165777,0.409005,224.146361,361.50523,1.96516,0.002265,4387.718778,3.68,4.24,5.127137478,0,148.076405,3349.108519,21.299466,56.297132,254.606361,536.864006,351.649779,159.4927,3446.950674,1948.051948,2748.284579,0.994937,2.325873,5.67,5.02,5.2,4.555556,4.561678,3.411765,3.415852,4.555556,0.427,0.385,0.377
166,mainland,The physical world,Person/Thing,Noun,0.601678,0.582186,10.694476,3.020735,2.40193,92.5203,0.47818,1e-6,48.353604,11.63,4.31,4.600138391,4,3.039174,102.355272,3.385867,5.504715,8.06118,1.538782,3.011832,11.105589,228.83595,12.626263,68.616829,0.994737,2.31852,5.3,3.67,5.71,4.4,4.44748,1.777778,2.108453,4.4,0.68,0.407,0.806
174,proud,Emotions and values,Property,Adjective,0.972195,0.835085,67.772644,0.605256,122.180096,108.79195,0.85668,1.6e-4,2427.469594,5.44,2.07,4.630725515,0,83.645914,2885.758309,81.811996,49.326095,98.052897,41.034192,122.750529,33.327305,2402.55912,344.516595,1691.946551,1,2.575829,7,5.55,7.09,3.5,4.07588,2.9,3.16111,3.5,0.906,0.7,0.873
178,ripe,Food and drink,Property,Adjective,1,0.978437,4.456252,0.699441,6.3955,194.26919,1.13415,3.6e-5,123.405518,7.11,3.3,5.403859161,0,4.196021,202.509355,9.33082,6.586428,4.957675,18.978314,4.040263,6.690749,166.823154,104.617605,86.673889,0.99511,2.332353,5.57,4.78,5.72,3.318182,4.827593,2.636364,3.56456,3.318182,0.671,0.337,0.67
