concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict
307,hawk,Animals,Person/Thing,Noun,0.741662
309,opossum,Animals,Person/Thing,Noun,0.218858
319,lick,The body,Action/Process,Verb,1
320,lame,The body,Property,Adjective,0.930532
322,fig,Food and drink,Person/Thing,Noun,0.361152
323,fat,The body,Person/Thing,Noun,0.917845
325,felt,Clothing and grooming,Person/Thing,Noun,0.287678
326,cloak,Clothing and grooming,Person/Thing,Noun,0.177319
327,poncho,Clothing and grooming,Person/Thing,Noun,0.222983
328,grass-skirt,Clothing and grooming,Person/Thing,Noun,0.02945
329,stocking,Clothing and grooming,Person/Thing,Noun,1
334,cookhouse,The house,Person/Thing,Noun,0.424612
337,pitchfork,Agriculture and vegetation,Person/Thing,Noun,0.304356
338,rake,Agriculture and vegetation,Person/Thing,Noun,0.714352
342,hay,Agriculture and vegetation,Person/Thing,Noun,0.526667
346,banyan,Agriculture and vegetation,Person/Thing,Noun,0.073503
356,shears,Basic actions and technology,Person/Thing,Noun,0.91664
359,potter,Basic actions and technology,Person/Thing,Noun,0.46776
360,fan,Basic actions and technology,Action/Process,Verb,0.831277
367,ride,Motion,Action/Process,Verb,0.458519
379,blunt,Sense perception,Property,Adjective,0.771184
380,wrinkled,Sense perception,Property,Adjective,0.899814
381,blame,Emotions and values,Person/Thing,Noun,0.671047
383,master,Social and political relations,Person/Thing,Noun,0.517275
384,freeman,Social and political relations,Person/Thing,Noun,0.191518
386,battle-axe,Warfare and hunting,Person/Thing,Noun,0.137485
387,sling,Warfare and hunting,Person/Thing,Noun,0.499643
388,fishnet,Warfare and hunting,Person/Thing,Noun,0.836515
390,punishment,Law,Person/Thing,Noun,0.499636
391,bless,Religion and belief,Action/Process,Verb,0.638954
403,garden-house,The house,Person/Thing,Noun,0.070032
410,yam,Agriculture and vegetation,Person/Thing,Noun,0.187178
411,gourd,Agriculture and vegetation,Person/Thing,Noun,0.302348
412,carry in hand,Motion,Action/Process,Verb,0.425907
413,carry on shoulder,Motion,Action/Process,Verb,0.473444
414,carry on head,Motion,Action/Process,Verb,0.127055
415,carry under arm,Motion,Action/Process,Verb,0.395235
416,outrigger,Motion,Person/Thing,Noun,0.070172
418,for a long time,Time,Other,Function word,0.735565
421,retreat,Warfare and hunting,Action/Process,Verb,0.707029
425,be late,Time,Property,Verb,0.922023
476,cup,Food and drink,Person/Thing,Noun,0.920028
482,noble,Social and political relations,Person/Thing,Noun,0.110386
484,condemn,Law,Action/Process,Verb,0.24268
488,manner,Cognition,Person/Thing,Noun,0.691122
490,descendants,Kinship,Person/Thing,Noun,0.673697
492,three,Quantity,Number,Function word,1
493,five,Quantity,Number,Function word,1
499,cure,The body,Action/Process,Verb,0.84824600000000006
503,frog,Animals,Person/Thing,Noun,1
505,parents,Kinship,Person/Thing,Noun,0.821946
506,maize,Agriculture and vegetation,Person/Thing,Noun,0.727014
509,certain,Cognition,Property,Adjective,0.76797
522,wolf,Animals,Person/Thing,Noun,0.3786
539,nest,Animals,Person/Thing,Noun,1
576,dandruff,The body,Person/Thing,Noun,0.823072
579,battle,Warfare and hunting,Person/Thing,Noun,1
585,boot,Clothing and grooming,Person/Thing,Noun,0.719752
586,garden,Agriculture and vegetation,Person/Thing,Noun,0.396911
590,naked,The body,Property,Adjective,0.928075
592,piss,The body,Action/Process,Verb,1
593,potato,Food and drink,Person/Thing,Noun,0.736591
597,physician,The body,Person/Thing,Noun,0.927782
598,shell,Animals,Person/Thing,Noun,0.736559
603,coat,Clothing and grooming,Person/Thing,Noun,0.716858
605,grain,Agriculture and vegetation,Person/Thing,Noun,0.305241
607,grasshopper,Animals,Person/Thing,Noun,1
610,port,Motion,Person/Thing,Noun,0.222978
613,high tide,The physical world,Person/Thing,Noun,0.200812
615,horse,Animals,Person/Thing,Noun,1
617,ice,The physical world,Person/Thing,Noun,0.935665
619,animal,Animals,Person/Thing,Noun,1
620,insect,Animals,Person/Thing,Noun,0.499929
622,island,The physical world,Person/Thing,Noun,0.824867
623,lagoon,The physical world,Person/Thing,Noun,0.292531
627,lead,Basic actions and technology,Person/Thing,Noun,0.719597
628,leaf,Agriculture and vegetation,Person/Thing,Noun,1
630,light,The physical world,Person/Thing,Noun,1
631,livestock,Animals,Person/Thing,Noun,0.517544
633,market,Possession,Person/Thing,Noun,0.61455
635,milk,Food and drink,Person/Thing,Noun,1
636,mill,Food and drink,Person/Thing,Noun,0.421757
640,mud,The physical world,Person/Thing,Noun,1
643,need,Cognition,Person/Thing,Noun,0.613246
644,oak,Agriculture and vegetation,Person/Thing,Noun,0.36525
645,ocean,The physical world,Person/Thing,Noun,0.405767
646,ash,The physical world,Person/Thing,Noun,1
647,paint,Basic actions and technology,Person/Thing,Noun,0.914316
649,pasture,Animals,Person/Thing,Noun,0.612081
652,plain,The physical world,Person/Thing,Noun,0.784672
653,plant,Agriculture and vegetation,Person/Thing,Noun,0.393021
655,poison,The body,Person/Thing,Noun,0.917557
658,rain,The physical world,Person/Thing,Noun,1
660,reef,The physical world,Person/Thing,Noun,0.155925
661,religion,Religion and belief,Person/Thing,Noun,0.353264
663,bay,The physical world,Person/Thing,Noun,0.268285
665,bee,Animals,Person/Thing,Noun,1
671,sand,The physical world,Person/Thing,Noun,1
676,shit,The body,Action/Process,Verb,1
677,axe,Basic actions and technology,Person/Thing,Noun,1
683,person,Kinship,Person/Thing,Noun,0.894576
688,lung,The body,Person/Thing,Noun,1
691,season,Time,Person/Thing,Noun,0.366143
698,wise,Cognition,Property,Adjective,0.82593
701,slow,Time,Property,Adverb,1
704,clean,Sense perception,Property,Adjective,0.818172
706,dark,Sense perception,Property,Adjective,0.673979
710,wheel,Motion,Person/Thing,Noun,0.929031
712,rich,Possession,Property,Adjective,0.648427
714,seed,Agriculture and vegetation,Person/Thing,Noun,1
718,pay,Possession,Action/Process,Verb,0.923319
719,find,Possession,Action/Process,Verb,1
720,good luck,Emotions and values,Person/Thing,Noun,0.640316
722,attack,Warfare and hunting,Person/Thing,Noun,0.509974
729,dawn,Time,Person/Thing,Noun,1
730,snake,Animals,Person/Thing,Noun,1
731,beverage,Food and drink,Person/Thing,Noun,0.828769
733,earn,Possession,Action/Process,Verb,0.489618
735,owl,Animals,Person/Thing,Noun,0.926227
736,yard,The house,Person/Thing,Noun,0.694664
737,light,The physical world,Action/Process,Verb,1
740,ship,Motion,Person/Thing,Noun,0.615746
741,drive,Motion,Action/Process,Verb,0.491604
744,egg,Food and drink,Person/Thing,Noun,1
745,shelf,The house,Person/Thing,Noun,0.696145
753,pupil,Cognition,Person/Thing,Noun,0.866045
754,hurry,Time,Action/Process,Verb,0.833279
755,deny,Speech and language,Action/Process,Verb,0.760898
757,button,Clothing and grooming,Person/Thing,Noun,0.91664
758,heron,Animals,Person/Thing,Noun,0.259983
759,silver,Basic actions and technology,Person/Thing,Noun,0.833473
761,cover,Spatial relations,Action/Process,Verb,1
765,move,Motion,Action/Process,Verb,0.922023
768,lunch,Food and drink,Person/Thing,Noun,0.599795
770,earring,Clothing and grooming,Person/Thing,Noun,1
773,have,Possession,Action/Process,Verb,0.200171
777,flute,Speech and language,Person/Thing,Noun,0.59619
778,smoke,The physical world,Person/Thing,Noun,1
781,fear,Emotions and values,Person/Thing,Noun,0.917557
782,defeat,Warfare and hunting,Person/Thing,Noun,0.426524
783,victory,Warfare and hunting,Person/Thing,Noun,0.843515
784,snow,The physical world,Person/Thing,Noun,0.573194
786,sailcloth,Motion,Person/Thing,Noun,0.230908
787,sail,Motion,Action/Process,Verb,0.209595
788,soap,Clothing and grooming,Person/Thing,Noun,1
789,people,Social and political relations,Person/Thing,Noun,0.767738
790,ready,Time,Property,Adjective,0.833827
791,stranger,Social and political relations,Person/Thing,Noun,0.708831
792,boil,Food and drink,Action/Process,Verb,1
797,testicles,The body,Person/Thing,Noun,1
798,jaw,The body,Person/Thing,Noun,1
799,wrist,The body,Person/Thing,Noun,0.906942
801,rib,The body,Person/Thing,Noun,1
803,ankle,The body,Person/Thing,Noun,1
805,spine,The body,Person/Thing,Noun,1
806,blanket,The house,Person/Thing,Noun,0.915861
809,trousers,Clothing and grooming,Person/Thing,Noun,1
812,slave,Social and political relations,Person/Thing,Noun,0.339002
820,lamb,Animals,Person/Thing,Noun,0.501679
827,roll,Motion,Action/Process,Verb,1
832,bean,Food and drink,Person/Thing,Noun,0.618199
834,buttocks,The body,Person/Thing,Noun,1
838,remains,Spatial relations,Person/Thing,Noun,0.677432
843,spider,Animals,Person/Thing,Noun,1
845,murder,Law,Person/Thing,Noun,0.772564
850,square,Spatial relations,Person/Thing,Noun,0.507091
852,priest,Religion and belief,Person/Thing,Noun,0.578435
853,altar,Religion and belief,Person/Thing,Noun,0.284954
854,kettle,Food and drink,Person/Thing,Noun,0.458163
858,storm,The physical world,Person/Thing,Noun,0.866162
859,stove,The house,Person/Thing,Noun,0.325619
860,cause,Cognition,Person/Thing,Noun,0.534845
861,judge,Law,Person/Thing,Noun,0.511487
862,sugar,Food and drink,Person/Thing,Noun,1
867,glove,Clothing and grooming,Person/Thing,Noun,0.501848
873,tax,Possession,Person/Thing,Noun,0.534691
875,shoemaker,Clothing and grooming,Person/Thing,Noun,0.386648
876,arch,The house,Person/Thing,Noun,0.409979
877,mason,The house,Person/Thing,Noun,0.254565
878,hell,Religion and belief,Person/Thing,Noun,0.580389
879,cough,The body,Action/Process,Verb,1
881,tailor,Clothing and grooming,Person/Thing,Noun,0.438684
882,parrot,Animals,Person/Thing,Noun,0.633586
887,bitter,Sense perception,Property,Adjective,1
889,flame,The physical world,Person/Thing,Noun,0.931384
890,mule,Animals,Person/Thing,Noun,0.469414
891,tide,The physical world,Person/Thing,Noun,0.207732
897,swallow,Food and drink,Action/Process,Verb,1
901,adobe,The house,Person/Thing,Noun,0.269524
902,adultery,Law,Person/Thing,Noun,0.461581
911,temple,Religion and belief,Person/Thing,Noun,0.268222
913,crow,Animals,Person/Thing,Noun,0.873304
914,sculptor,Basic actions and technology,Person/Thing,Noun,0.170467
917,ornament,Clothing and grooming,Person/Thing,Noun,0.749677
920,grape,Food and drink,Person/Thing,Noun,0.498729
921,valley,The physical world,Person/Thing,Noun,0.773148
924,vegetables,Food and drink,Person/Thing,Noun,0.506933
925,cassava,Agriculture and vegetation,Person/Thing,Noun,0.109495
926,rice,Agriculture and vegetation,Person/Thing,Noun,0.776512
928,embrace,Emotions and values,Action/Process,Verb,0.899814
932,barley,Agriculture and vegetation,Person/Thing,Noun,0.422011
933,wall,The house,Person/Thing,Noun,0.847009
936,stallion,Animals,Person/Thing,Noun,0.506628
937,bird,Animals,Person/Thing,Noun,1
938,mare,Animals,Person/Thing,Noun,0.491736
941,mead,Food and drink,Person/Thing,Noun,0.104897
942,honey,Food and drink,Person/Thing,Noun,0.909055
943,waterfall,The physical world,Person/Thing,Noun,0.829236
946,blood,The body,Person/Thing,Noun,1
948,water,The physical world,Person/Thing,Noun,1
950,seagull,Animals,Person/Thing,Noun,0.238776
951,weapons,Warfare and hunting,Person/Thing,Noun,0.7896
952,weather,The physical world,Person/Thing,Noun,0.510516
953,rape,Law,Person/Thing,Noun,0.694736
957,whale,Animals,Person/Thing,Noun,0.284024
960,wind,The physical world,Person/Thing,Noun,1
964,wool,Clothing and grooming,Person/Thing,Noun,0.493396
965,world,The physical world,Person/Thing,Noun,0.905605
