concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict
1479,dolphin,Animals,Person/Thing,Noun,0.201712
1481,hammer,Basic actions and technology,Person/Thing,Noun,1
1482,shoulder,The body,Person/Thing,Noun,1
1483,nine,Quantity,Number,Function word,0.855131
1484,oil,Food and drink,Person/Thing,Noun,0.917769
1489,cloud,The physical world,Person/Thing,Noun,1
1493,one,Quantity,Number,Function word,1
1496,grandmother,Kinship,Person/Thing,Noun,0.883997
1498,two,Quantity,Number,Function word,1
1500,four,Quantity,Number,Function word,1
1502,goat,Animals,Person/Thing,Noun,0.77377
1504,fly,Animals,Person/Thing,Noun,1
1506,measure,Spatial relations,Action/Process,Verb,0.917557
1507,fruit,Food and drink,Person/Thing,Noun,0.838509
1508,king,Social and political relations,Person/Thing,Noun,0.546382
1509,mosquito,Animals,Person/Thing,Noun,0.933634
1510,chin,The body,Person/Thing,Noun,1
1511,rooster,Animals,Person/Thing,Noun,0.741428
1514,hen,Animals,Person/Thing,Noun,0.594039
1515,ten,Quantity,Number,Function word,0.78973
1517,wasp,Animals,Person/Thing,Noun,0.91079
1518,stupid,Cognition,Property,Adjective,0.828221
1521,seem,Cognition,Action/Process,Verb,0.579112
1524,wine,Food and drink,Person/Thing,Noun,0.524564
1526,meal,Food and drink,Person/Thing,Noun,0.628367
1528,forgive,Emotions and values,Action/Process,Verb,0.785592
1534,fever,The body,Person/Thing,Noun,0.906942
1535,sword,Warfare and hunting,Person/Thing,Noun,0.466884
1537,springtime,Time,Person/Thing,Noun,0.49529
1538,scorpion,Animals,Person/Thing,Noun,0.630589
1539,basket,Basic actions and technology,Person/Thing,Noun,1
1541,cultivate,Agriculture and vegetation,Action/Process,Verb,0.477726
1544,sometimes,Time,Other,Function word,0.844046
1545,host,Social and political relations,Person/Thing,Noun,0.503418
1546,twice,Quantity,Other,Function word,0.809564
1547,soup,Food and drink,Person/Thing,Noun,0.900255
1554,man,Kinship,Person/Thing,Noun,1
1556,yolk,Food and drink,Person/Thing,Noun,1
1558,similar,Sense perception,Property,Adjective,0.834819
1559,money,Possession,Person/Thing,Noun,1
1560,face,The body,Person/Thing,Noun,1
1561,army,Warfare and hunting,Person/Thing,Noun,0.622047
1564,lazy,The body,Property,Adjective,1
1567,door,The house,Person/Thing,Noun,1
1569,cheese,Food and drink,Person/Thing,Noun,0.449241
1571,sell,Possession,Action/Process,Verb,0.838503
1572,surprised,Emotions and values,Property,Adjective,0.91705
1575,cockroach,Animals,Person/Thing,Noun,0.781465
1577,and,Cognition,Other,Function word,0.617557
1584,blister,The body,Person/Thing,Noun,1
1585,sleep,The body,Action/Process,Verb,1
1587,smell,Sense perception,Action/Process,Verb,0.743833
1594,flour,Food and drink,Person/Thing,Noun,1
1595,south,Spatial relations,Person/Thing,Noun,0.55255
1596,lock,The house,Person/Thing,Noun,0.694736
1598,north,Spatial relations,Person/Thing,Noun,0.618106
1600,skirt,Clothing and grooming,Person/Thing,Noun,1
1601,weak,The body,Property,Adjective,0.924383
1604,temples,The body,Person/Thing,Noun,0.369154
1607,hate,Emotions and values,Action/Process,Verb,0.914384
1610,prostitute,Social and political relations,Person/Thing,Noun,0.793983
1613,color,Sense perception,Person/Thing,Noun,0.664722
1621,sneeze,The body,Action/Process,Verb,1
1624,empty,Quantity,Property,Adjective,0.84378
1626,explain,Cognition,Action/Process,Verb,0.91705
1634,hundred,Quantity,Number,Function word,0.77675399999999994
1635,obey,Social and political relations,Action/Process,Verb,0.841402
1639,beer,Food and drink,Person/Thing,Noun,0.749727
1640,sibling,Kinship,Person/Thing,Noun,0.306812
1641,silk,Clothing and grooming,Person/Thing,Noun,0.497677
1642,niece,Kinship,Person/Thing,Noun,0.432564
1643,cousin,Kinship,Person/Thing,Noun,0.443202
1644,relatives,Kinship,Person/Thing,Noun,0.930532
1645,short,Spatial relations,Property,Adjective,0.912698
1647,foal,Animals,Person/Thing,Noun,0.500195
1648,anvil,Basic actions and technology,Person/Thing,Noun,0.349854
1651,tear,Emotions and values,Person/Thing,Noun,1
1653,blind,The body,Property,Adjective,0.933485
1654,lightning,The physical world,Person/Thing,Noun,1
1655,blink,The body,Action/Process,Verb,1
1656,never,Time,Other,Function word,0.642297
1662,cape,The physical world,Person/Thing,Noun,0.240171
1663,bed,The house,Person/Thing,Noun,0.914467
1664,raft,Motion,Person/Thing,Noun,0.315211
1666,mute,The body,Property,Adjective,0.814278
1669,ancestors,Kinship,Person/Thing,Noun,0.925079
1671,tower,Warfare and hunting,Person/Thing,Noun,0.252478
1674,poor,Possession,Property,Adjective,0.847006
1675,promise,Speech and language,Action/Process,Verb,0.750843
1680,helmet,Warfare and hunting,Person/Thing,Noun,0.235971
1681,waist,The body,Person/Thing,Noun,0.769366
1682,guilty,Law,Property,Adjective,0.507242
1687,praise,Emotions and values,Person/Thing,Noun,0.592726
1689,smoke,Agriculture and vegetation,Action/Process,Verb,0.914384
1690,fence,Agriculture and vegetation,Person/Thing,Noun,0.915238
1692,friday,Time,Person/Thing,Noun,0.705929
1693,thursday,Time,Person/Thing,Noun,0.705929
1694,wednesday,Time,Person/Thing,Noun,0.705929
1695,tuesday,Time,Person/Thing,Noun,0.705929
1696,surrender,Warfare and hunting,Action/Process,Verb,0.577393
1697,monday,Time,Person/Thing,Noun,0.909474
1699,sunday,Time,Person/Thing,Noun,0.90035
1700,saturday,Time,Person/Thing,Noun,0.909474
1702,holy,Religion and belief,Property,Adjective,0.457224
1703,six,Quantity,Number,Function word,0.855131
1704,seven,Quantity,Number,Function word,0.855131
1705,eight,Quantity,Number,Function word,0.855131
1706,eleven,Quantity,Number,Function word,0.84638
1707,twelve,Quantity,Number,Function word,0.77675399999999994
1709,fifteen,Quantity,Number,Function word,0.84638
1710,twenty,Quantity,Number,Function word,0.77675399999999994
1712,oath,Law,Person/Thing,Noun,0.532981
1726,wet,Sense perception,Property,Adjective,1
1731,mortar binder,The house,Person/Thing,Noun,0.372385
1733,rainbow,The physical world,Person/Thing,Noun,1
1735,tear,Basic actions and technology,Action/Process,Verb,1
1740,pine,Agriculture and vegetation,Person/Thing,Noun,0.3098
1747,custom,Social and political relations,Person/Thing,Noun,0.830366
1750,choose,Emotions and values,Action/Process,Verb,0.920883
1754,bracelet,Clothing and grooming,Person/Thing,Noun,0.915982
1756,widow,Kinship,Person/Thing,Noun,0.82129
1757,tired,The body,Property,Adjective,1
1763,club,Warfare and hunting,Person/Thing,Noun,0.687748
1764,obscure,Cognition,Property,Adjective,0.571882
1766,finish,Time,Action/Process,Verb,1
1767,scrape,Basic actions and technology,Action/Process,Verb,0.922395
1768,foam,The physical world,Person/Thing,Noun,1
1769,axle,Motion,Person/Thing,Noun,0.479371
1774,stingy,Possession,Property,Adjective,0.899814
1775,table,The house,Person/Thing,Noun,0.91664
1776,shame,Emotions and values,Person/Thing,Noun,0.924735
1778,approach,Motion,Action/Process,Verb,0.924735
1779,dare,Emotions and values,Action/Process,Verb,0.460085
1781,thumb,The body,Person/Thing,Noun,1
1782,guest,Social and political relations,Person/Thing,Noun,0.8593
1787,loom,Clothing and grooming,Person/Thing,Noun,0.34148
1789,age,Time,Person/Thing,Noun,0.465963
1791,butterfly,Animals,Person/Thing,Noun,1
1792,perjury,Law,Person/Thing,Noun,0.222692
1793,bat,Animals,Person/Thing,Noun,1
1794,furrow,Agriculture and vegetation,Person/Thing,Noun,0.41821
1807,afternoon,Time,Person/Thing,Noun,0.90035
1808,pus,The body,Person/Thing,Noun,1
1810,danger,Emotions and values,Person/Thing,Noun,0.741662
1814,accuse,Law,Action/Process,Verb,0.833616
1816,beside,Spatial relations,Other,Function word,1
1817,west,Spatial relations,Person/Thing,Noun,0.777186
1818,adjudicate,Law,Action/Process,Verb,0.255784
1820,bear,Animals,Person/Thing,Noun,0.452067
1821,brush,Clothing and grooming,Person/Thing,Noun,0.719845
1833,dinner,Food and drink,Person/Thing,Noun,0.177223
1840,build,Basic actions and technology,Action/Process,Verb,1
1841,suspect,Cognition,Action/Process,Verb,0.625362
1843,thousand,Quantity,Number,Function word,0.77675399999999994
1844,boat,Motion,Person/Thing,Noun,0.821333
1845,ball,Spatial relations,Person/Thing,Noun,0.843515
1846,rule,Social and political relations,Action/Process,Verb,0.636381
1848,quarrel,Social and political relations,Person/Thing,Noun,0.924735
1849,row,Motion,Action/Process,Verb,0.575322
1850,cotton,Clothing and grooming,Person/Thing,Noun,0.591646
1851,pocket,Clothing and grooming,Person/Thing,Noun,1
1855,birch,Agriculture and vegetation,Person/Thing,Noun,0.15354
1857,crocodile,Animals,Person/Thing,Noun,0.730124
1858,fisherman,Warfare and hunting,Person/Thing,Noun,0.546101
1859,third,Quantity,Other,Function word,0.580212
1862,donkey,Animals,Person/Thing,Noun,0.709929
1867,coin,Possession,Person/Thing,Noun,0.914467
1870,anchor,Motion,Person/Thing,Noun,0.317864
1871,camel,Animals,Person/Thing,Noun,0.504445
1874,sausage,Food and drink,Person/Thing,Noun,0.27816
1877,east,Spatial relations,Person/Thing,Noun,0.707941
1886,armpit,The body,Person/Thing,Noun,1
1887,cheap,Possession,Property,Adjective,0.914384
1888,pair,Quantity,Person/Thing,Noun,1
1889,arson,Law,Person/Thing,Noun,0.264378
1895,clothes,Clothing and grooming,Person/Thing,Noun,1
1897,help,Social and political relations,Action/Process,Verb,1
1901,shovel,Agriculture and vegetation,Person/Thing,Noun,0.756262
1903,swelling,The body,Person/Thing,Noun,0.9181
1905,eagle,Animals,Person/Thing,Noun,0.782377
1906,sour,Sense perception,Property,Adjective,0.900124
1910,stingray,Animals,Person/Thing,Noun,0.171045
1915,fir,Agriculture and vegetation,Person/Thing,Noun,0.088601
1916,gill,Animals,Person/Thing,Noun,0.513831
1917,tie,Basic actions and technology,Action/Process,Verb,1
1920,dream,The body,Action/Process,Verb,1
1921,plough,Agriculture and vegetation,Action/Process,Verb,0.489833
1923,rough,Sense perception,Property,Adjective,0.826383
1927,bamboo,Agriculture and vegetation,Person/Thing,Noun,0.566303
1931,beeswax,Animals,Person/Thing,Noun,0.414468
1932,guess,Cognition,Action/Process,Verb,0.745477
1934,beggar,Possession,Person/Thing,Noun,0.752588
1936,deer,Animals,Person/Thing,Noun,0.53629
1938,fortress,Warfare and hunting,Person/Thing,Noun,0.210947
1939,swear,Law,Action/Process,Verb,0.470485
1940,guard,Warfare and hunting,Person/Thing,Noun,0.718898
1941,soldier,Warfare and hunting,Person/Thing,Noun,0.899847
1942,near,Spatial relations,Property,Adverb,1
1945,idol,Religion and belief,Person/Thing,Noun,0.216287
1948,saw,Basic actions and technology,Person/Thing,Noun,0.877743
1950,beech,Agriculture and vegetation,Person/Thing,Noun,0.093333
1970,canoe,Motion,Person/Thing,Noun,0.409818
1971,fan,Basic actions and technology,Person/Thing,Noun,0.589181
1972,young goat,Animals,Person/Thing,Noun,0.470717
1973,demon,Religion and belief,Person/Thing,Noun,0.694408
1974,centipede,Animals,Person/Thing,Noun,0.727079
1977,dew,The physical world,Person/Thing,Noun,1
1979,chisel,Basic actions and technology,Person/Thing,Noun,0.57812
1981,widower,Kinship,Person/Thing,Noun,0.744452
1982,whirlpool,The physical world,Person/Thing,Noun,0.884715
1983,snore,The body,Action/Process,Verb,1
1989,calf,Animals,Person/Thing,Noun,0.687427
1991,intestines,The body,Person/Thing,Noun,1
1998,command,Social and political relations,Action/Process,Verb,0.920028
2002,ditch,Agriculture and vegetation,Person/Thing,Noun,0.85951
2008,rescue,Possession,Action/Process,Verb,0.741385
2009,dog,Animals,Person/Thing,Noun,1
2012,collar,Clothing and grooming,Person/Thing,Noun,0.789705
2013,bait,Warfare and hunting,Person/Thing,Noun,0.576513
2017,mix,Food and drink,Action/Process,Verb,1
2018,greedy,Emotions and values,Property,Adjective,0.444986
2020,plaintiff,Law,Person/Thing,Noun,0.429971
2022,admit,Speech and language,Action/Process,Verb,0.714324
2023,crowd,Quantity,Person/Thing,Noun,0.762646
2024,plot,Social and political relations,Person/Thing,Noun,0.32624
2132,sickle or scythe,Agriculture and vegetation,Person/Thing,Noun,0.656223
2136,brass instrument,Speech and language,Person/Thing,Noun,0.341961
2253,drip,Motion,Action/Process,Verb,1
2257,mother-in-law,Kinship,Person/Thing,Noun,0.66994
2475,male goat,Animals,Person/Thing,Noun,0.471745
3137,oar,Basic actions and technology,Person/Thing,Noun,0.554646
3206,elf or fairy,Religion and belief,Person/Thing,Noun,0.184386
3217,tin or tinplate,Basic actions and technology,Person/Thing,Noun,0.440009
3456,crawl or creep,Motion,Action/Process,Verb,1
3457,headband or headdress,Clothing and grooming,Person/Thing,Noun,0.65983
