concepticon_id,name,description,final_synset,synonym,wordnet_id,count,definition,same_synset,annotation,comment
1936,deer,The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.,n02430045,cervid,n02430045,1,distinguished from Bovidae by the male's having solid deciduous antlers,same,1,NA
1350,monkey,"A primate from the group *New World monkeys* or *Old World monkeys* (Simiiformes, excluding the superfamily Hominoidea or apes) that lives mainly in rainforests and is distinguished from an Ape by its smaller size and its tail.",n02484322,monkey,n02484322,328,any of various long-tailed primates (excluding the prosimians),same,1,NA
1290,elephant,"A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.",n02503517,elephant,n02503517,420,five-toed pachyderm,same,1,NA
1871,camel,"A beast of burden, much used in desert areas, of the genus Camelus.",n02437136,camel,n02437136,134,cud-chewing mammal used as a draft or saddle animal in desert regions,same,1,NA
620,insect,"A class of the Arthropoda typically having a segmented body with an external chitinous covering, a pair of compound eyes, a pair of antennae, three pairs of mouthparts, and two pairs of wings.",n02159955,insect,n02159955,667,small air-breathing arthropod,same,1,NA
267,nit,An egg of a louse that is sometimes found in people's hair.,n01461146,nit,n01461146,8,egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing,same,1,NA
232,flea,Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH),n02186153,flea,n02186153,147,any wingless bloodsucking parasitic insect noted for ability to leap,same,1,NA
1974,centipede,"Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.",n1784675,centipede,n01784675,20,"chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair being modified as prehensors",different,1,NA
1538,scorpion,"An arthropod with eight legs, belonging to the order Scorpiones in the class Arachnida.",n01770393,scorpion,n01770393,60,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger,same,1,NA
1575,cockroach,The most primitive of the living winged insects.,n02233338,roach,n02233338,96,any of numerous chiefly nocturnal insects; some are domestic pests,same,1,NA
1575,cockroach,The most primitive of the living winged insects.,n02233338,cockroach,n02233338,88,any of numerous chiefly nocturnal insects; some are domestic pests,same,1,NA
587,ant,"Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.",n02219486,ant,n02219486,186,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,same,1,NA
587,ant,"Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.",n02219486,pismire,NA,NA,NA,different,0,NA
587,ant,"Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.",n02219486,emmet,n02219486,1,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,same,1,NA
843,spider,"Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.",n01772222,spider,n01772222,273,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey",same,1,NA
665,bee,Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.,n02206856,bee,n02206856,283,any of numerous hairy-bodied insects including social and solitary species,same,1,NA
1931,beeswax,A yellowish or dark brown wax secreted by honeybees for constructing honeycombs.,n15094824,beeswax,n15094824,27,a yellow to brown wax secreted by honeybees to build honeycombs,same,1,NA
88,beehive,A structure that provides a natural habitation for bees; as in a hollow tree.,n02822865,beehive,n02823030,7,any workplace where people are very busy,different,1,NA
88,beehive,A structure that provides a natural habitation for bees; as in a hollow tree.,n02822865,hive,n02822865,53,a man-made receptacle that houses a swarm of bees,same,1,NA
1517,wasp,"A flying stinging insect related to the bee, which is usually coloured yellow and black.",n02212062,wasp,n02212062,85,social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting,same,1,NA
1504,fly (insect),A common insect; any species of insect of the order Diptera.,n02190166,fly,v01940403,2428,travel through the air; be airborne,different,0,this concept will not be considered
95,sandfly,"A tiny flying insect from one of several species in the Nematocera suborder, including the families Mycetophilidae, Anisopodidae and Sciaridae.",n2204249,sandfly,n02204249,1,any of various small dipterous flies; bloodsucking females can transmit sandfly fever and leishmaniasis,different,1,NA
1509,mosquito,A small flying insect (of the family Culicidae) known for biting and sucking blood.,n02200198,mosquito,n02200198,219,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,same,1,NA
1219,worm,A generally tubular invertebrate of the annelid phylum.,n01922303,worm,n01922303,357,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,same,1,NA
730,snake,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.",n01726692,serpent,n01726692,77,limbless scaly elongate reptile; some are venomous,same,1,NA
730,snake,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.",n01726692,ophidian,NA,NA,NA,different,0,NA
730,snake,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.",n01726692,snake,n01726692,597,limbless scaly elongate reptile; some are venomous,same,1,NA
206,firefly,"A nocturnal, bioluminescent beetle of the family Lampyridae.",n2168245,firefly,n02168245,56,nocturnal beetle common in warm regions having luminescent abdominal organs,different,1,NA
1791,butterfly,A lepidopteran that is active at day.,n02274259,butterfly,n02274259,374,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,same,1,NA
607,grasshopper,A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.,n02226429,grasshopper,n02226429,80,terrestrial plant-eating insect with hind legs adapted for leaping,same,1,NA
607,grasshopper,A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.,n02226429,hopper,n03535284,30,funnel-shaped receptacle; contents pass by gravity into a receptacle below,different,0,NA
1543,snail,"(Gastropoda) Ventral footed mollusk, including land snails, terrestrial pulmonate gastropod mollusks.",n01944390,snail,n01944390,54,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell,same,1,NA
503,frog,"Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.",n01639765,toad,n01639765,80,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species,same,1,NA
503,frog,"Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.",n01639765,anuran,NA,NA,NA,different,0,NA
503,frog,"Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.",n01639765,frog,n01639765,333,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species,same,1,NA
503,frog,"Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.",n01639765,batrachian,NA,NA,NA,different,0,NA
503,frog,"Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.",n01639765,salientian,NA,NA,NA,different,0,NA
632,lizard,"Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms.",n01674464,lizard,n01674464,231,relatively long-bodied reptile with usually two pairs of legs and a tapering tail,same,1,NA
1857,crocodile,"Any large tropical reptile of the family Crocodylidae: order Crocodylia. They have a broad head, tapering snout, massive jaws, and a thick outer covering of bony plates. (Source: CED)",n1697178,crocodile,n01697178,91,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters,different,1,NA
112,turtle,"A reptile of the order Testudines (the crown group of the superorder Chelonia), characterised by a special bony or cartilaginous shell developed from their ribs that acts as a shield.",n01662784,turtle,n01662784,246,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming,same,1,NA
1480,body,The physical structure of a human or animal.,n05216365,body,n05216365,7592,"the entire structure of an organism (an animal, plant, or human being)",same,1,NA
763,skin,"The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.",n01895735,skin,n05238282,3673,a natural protective body covering and site of the sense of touch,different,1,NA
763,skin,"The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.",n01895735,pelt,v01507914,74,"cast, hurl, or throw repeatedly with some missile",different,0,NA
763,skin,"The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.",n01895735,hide,v02144835,2367,prevent from being seen or discovered,different,0,NA
2259,flesh,The soft substance in the body of living things.,n05268112,flesh,n05268112,891,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat,same,1,NA
2648,hair (head),The hair on the head of humans (rather than the hair in general or the hair on the body).,n5254795,hair,n05254795,8701,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,different,1,NA
678,beard,"Facial hair of humans on the chin, cheeks and jaw.",n05261566,whiskers,NA,NA,NA,different,0,NA
678,beard,"Facial hair of humans on the chin, cheeks and jaw.",n05261566,beard,n05261566,482,the hair growing on the lower part of a man's face,same,1,NA
576,dandruff,Small portion of dead skin cells shedding from the scalp.,n09262955,dandruff,n09262955,8,loose scales shed from the scalp,same,1,NA
946,blood,A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.,n05399847,blood,n05399847,4551,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets",same,1,NA
525,blood vessel,The blood vessels are the part of the circulatory system that transports blood throughout the human body or an animal body.,n05333777,artery,n05333777,248,a blood vessel that carries blood from the heart to the body,same,1,NA
525,blood vessel,The blood vessels are the part of the circulatory system that transports blood throughout the human body or an animal body.,n05333777,arteria,NA,NA,NA,different,0,NA
1394,bone,"Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.",n05269901,bone,n05269901,2292,rigid connective tissue that makes up the skeleton of vertebrates,same,1,NA
1394,bone,"Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.",n05269901,os,n06568134,38,(computer science) software that controls the execution of computer programs and may provide various services,different,0,NA
801,rib,One of the long curved bones which form the rib cage.,n05279026,costa,n05592126,1,a riblike part of a plant or animal (such as a middle rib of a leaf or a thickened vein of an insect wing),different,0,NA
801,rib,One of the long curved bones which form the rib cage.,n05279026,rib,n05279026,438,any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates),same,1,NA
1393,horn (anatomy),A hard growth of keratin that protrudes from the top of the head of certain animals.,n01325417,horn,n03537085,179,a noisemaker (as at parties or games) that makes a loud noise when you blow through it,different,0,NA
1220,tail,The appendage of an animal that is attached to its posterior and near the anus.,n02157557,tail,n02157557,825,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,same,1,NA
1291,back,"The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.",n05558717,dorsum,n05557500,1,the back of the body of a vertebrate or any analogous surface (as the upper or outer surface of an organ or appendage or part),different,0,this concept will not be considered
1291,back,"The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.",n05558717,back,r00075161,17640,in or to or toward a former location,different,0,NA
805,spine,"The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.",n05588174,rachis,NA,NA,NA,different,0,NA
805,spine,"The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.",n05588174,backbone,n05032351,31,fortitude and determination,different,0,NA
805,spine,"The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.",n05588174,back,r00075161,17640,in or to or toward a former location,different,0,NA
805,spine,"The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.",n05588174,spine,n05588174,425,the series of vertebrae forming the axis of the skeleton and protecting the spinal cord,same,1,NA
1256,head,"The part of the body of an animal or human which contains the brain, mouth and main sense organs.",n05538625,caput,n05538625,3,the upper part of the human body or the front part of the body in animals; contains the face and brains,same,1,NA
1256,head,"The part of the body of an animal or human which contains the brain, mouth and main sense organs.",n05538625,head,n05538625,14052,the upper part of the human body or the front part of the body in animals; contains the face and brains,same,1,NA
1604,temples,The region of the skull on either side of the forehead.,n05602683,temple,n04407435,313,place of worship consisting of an edifice for the worship of a deity,different,0,this concept will not be considered
1605,skull,The main bone of the head; the cranium.,n05540121,skull,n05540121,623,the bony skeleton of the head of vertebrates,same,1,NA
1583,brain,The organ of the central nervous system of an animal or human located in the skull that controls the actions and thoughts of the animal or human.,n05481095,encephalon,NA,NA,NA,different,0,NA
1583,brain,The organ of the central nervous system of an animal or human located in the skull that controls the actions and thoughts of the animal or human.,n05481095,brain,n05481095,1854,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,same,1,NA
1560,face,"The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.",n05600637,face,n05600637,12390,the front of the human head from the forehead to the chin and ear to ear,same,1,NA
123,forehead,The part of the face between the hairline and the eyebrows.,n05602548,brow,n05313535,354,the arch of hair above each eye,different,0,NA
123,forehead,The part of the face between the hairline and the eyebrows.,n05602548,forehead,n05602548,1078,the part of the face above the eyes,same,1,NA
798,jaw,"Either of the two opposable structures forming, or near the entrance to, the mouth.",n05546040,jaw,n05546040,772,the part of the skull of a vertebrate that frames the mouth and holds the teeth,same,1,NA
1730,cheek,"The soft skin on each side of the face, between the eyes and the chin; the outer surface of the sides of the oral cavity.",n05602835,cheek,n05602835,1881,either side of the face below the eyes,same,1,NA
1510,chin,"The bottom of the face, below the mouth.",n05599617,mentum,NA,NA,NA,different,0,NA
1510,chin,"The bottom of the face, below the mouth.",n05599617,chin,n05599617,993,the protruding part of the lower jaw,same,1,NA
1248,eye,"The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.",n05311054,eye,n05311054,20165,the organ of sight,same,1,NA
1248,eye,"The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.",n05311054,optic,n05311054,107,the organ of sight,same,1,NA
1248,eye,"The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.",n05311054,oculus,NA,NA,NA,different,0,NA
1173,eyebrow,The hair that grows over the bone ridge above the eye socket.,n05313535,brow,n05313535,354,the arch of hair above each eye,same,1,NA
1173,eyebrow,The hair that grows over the bone ridge above the eye socket.,n05313535,supercilium,NA,NA,NA,different,0,NA
1173,eyebrow,The hair that grows over the bone ridge above the eye socket.,n05313535,eyebrow,n05313535,911,the arch of hair above each eye,same,1,NA
17,eyelid,A skin flap that can be closed over an eye.,n05313822,palpebra,NA,NA,NA,different,0,NA
17,eyelid,A skin flap that can be closed over an eye.,n05313822,eyelid,n05313822,212,either of two folds of skin that can be moved to cover or open the eye,same,1,NA
17,eyelid,A skin flap that can be closed over an eye.,n05313822,lid,n03661340,428,"a movable top or cover (hinged or separate) for closing the opening at the top of a box, chest, jar, pan, etc.",different,0,NA
1540,eyelash,"One of the hairs that grows on the eyelid, around the eyes.",n05314919,cilium,NA,NA,NA,different,0,NA
1540,eyelash,"One of the hairs that grows on the eyelid, around the eyes.",n05314919,eyelash,n05314919,123,any of the short curved hairs that grow from the edges of the eyelids,same,1,NA
1540,eyelash,"One of the hairs that grows on the eyelid, around the eyes.",n05314919,lash,n05314919,131,any of the short curved hairs that grow from the edges of the eyelids,same,1,NA
1655,blink,"To make a quick wink of one or both eyelids, often repeatedly.",v00007739,nictate,NA,NA,NA,different,0,NA
1655,blink,"To make a quick wink of one or both eyelids, often repeatedly.",v00007739,wink,v00008299,209,signal by winking,different,0,NA
1655,blink,"To make a quick wink of one or both eyelids, often repeatedly.",v00007739,nictitate,v00007739,1,briefly shut the eyes,same,1,NA
1655,blink,"To make a quick wink of one or both eyelids, often repeatedly.",v00007739,blink,v00007739,787,briefly shut the eyes,same,1,NA
1247,ear,"The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.",n05320899,ear,n05320899,2223,the sense organ for hearing and equilibrium,same,1,NA
18,earlobe,The lower fleshy part of the human ear.,n05323588,earlobe,n05323588,63,the fleshy pendulous part of the external human ear,same,1,NA
32,earwax,"A yellowish, waxlike secretion from certain glands in the external auditory canal.",n15095103,earwax,n15095103,2,a soft yellow wax secreted by glands in the ear canal,same,1,NA
32,earwax,"A yellowish, waxlike secretion from certain glands in the external auditory canal.",n15095103,cerumen,NA,NA,NA,different,0,NA
1221,nose,The organ of the face used to breath and smell.,n05598147,nose,n05598147,2316,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,same,1,NA
1178,nostril,Either of the two orifices located on the nose (or on the beak of a bird); used as a passage for air and other gases to travel the nasal passages.,n05600109,nostril,n05600109,278,either one of the two external openings to the nasal cavity in the nose,same,1,NA
208,nasal mucus (snot),Mucus from the nose.,n05416048,snot,n05416048,33,nasal mucus,same,1,NA
674,mouth,Opening in the lower half of a human face which is used for food ingestion and articulation.,n05302499,mouth,n05302499,3735,the opening through which food is taken in and vocalizations emerge,same,1,NA
73,beak,External anatomical structure of birds which is used for taking food and for eating.,n01758308,beak,n01758308,100,horny projecting mouth of a bird,same,1,NA
73,beak,External anatomical structure of birds which is used for taking food and for eating.,n01758308,nib,n03823111,15,the writing point of a pen,different,0,NA
73,beak,External anatomical structure of birds which is used for taking food and for eating.,n01758308,pecker,n01758308,11,horny projecting mouth of a bird,same,1,NA
73,beak,External anatomical structure of birds which is used for taking food and for eating.,n01758308,bill,n06536853,813,a statute in draft before it becomes law,different,0,NA
73,beak,External anatomical structure of birds which is used for taking food and for eating.,n01758308,neb,n01758308,3,horny projecting mouth of a bird,same,1,NA
478,lip,Either of the two fleshy protrusions around the opening of the mouth.,n05305806,lip,n05305806,3377,either of two fleshy folds of tissue that surround the mouth and play a role in speaking,same,1,NA
1205,tongue,"The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.",n05301072,glossa,NA,NA,NA,different,0,NA
1205,tongue,"The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.",n05301072,tongue,n05301072,1169,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,same,1,NA
1205,tongue,"The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.",n05301072,lingua,n05301072,1,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,same,1,NA
1205,tongue,"The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.",n05301072,clapper,n03037228,6,metal striker that hangs inside a bell and makes a sound by hitting the side,different,0,NA
1380,tooth,"A hard, calcareous structure present in the mouth of many vertebrate animals (including humans), generally used for eating.",n05282746,tooth,n05282746,2230,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,same,1,NA
139,gums,The mucosal tissue that partly lies over the teeth in the mouth.,n05304932,gingiva,NA,NA,NA,different,0,NA
139,gums,The mucosal tissue that partly lies over the teeth in the mouth.,n05304932,gum,n07599998,144,a preparation (usually made of sweetened chicle) for chewing,different,1,NA
1049,molar tooth,A tooth located in the back of the mouth used for crushing and grinding food.,n05307773,grinder,n03460040,25,a machine tool that polishes metal,different,0,NA
1049,molar tooth,A tooth located in the back of the mouth used for crushing and grinding food.,n05307773,molar,n05307773,17,grinding tooth with a broad crown; located behind the premolars,same,1,NA
1333,neck,"The part of the body (found in some animals, including humans) that connects the head and the trunk.",n05546540,cervix,n05303232,16,necklike opening to the uterus,different,0,NA
1333,neck,"The part of the body (found in some animals, including humans) that connects the head and the trunk.",n05546540,neck,n05546540,2710,the part of an organism (human or animal) that connects the head to the rest of the body,same,1,NA
1346,throat,The front part of the neck.,n05547508,throat,n05547508,1793,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,same,1,NA
1346,throat,The front part of the neck.,n05547508,pharynx,n05547508,5,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,same,1,NA
1482,shoulder,"One side of the top of the torso, where an arm attaches or joins.",n05548840,shoulder,n05548840,5500,the part of the body between the neck and the upper arm,same,1,NA
172,shoulderblade,A large flat bone located at the back of each shoulder.,n05279688,scapula,n05279688,7,either of two flat triangular bones one on each side of the shoulder in human beings,same,1,NA
1994,collarbone,Bone linking the scapula and sternum.,n05274105,clavicle,n05274105,26,bone linking the scapula and sternum,same,1,NA
1994,collarbone,Bone linking the scapula and sternum.,n05274105,collarbone,n05274105,53,bone linking the scapula and sternum,same,1,NA
1673,arm,"The upper limb, extending from the shoulder to the wrist and sometimes including the hand.",n05563770,arm,n05563770,7996,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,same,1,NA
1886,armpit,The hollow under the upper part of the arm at the shoulder.,n05549576,axilla,NA,NA,NA,different,0,NA
1886,armpit,The hollow under the upper part of the arm at the shoulder.,n05549576,armpit,n05549576,126,the hollow under the arm where it is joined to the shoulder,same,1,NA
981,elbow,The joint between arm and forearm.,n05579944,cubitus,NA,NA,NA,different,0,NA
981,elbow,The joint between arm and forearm.,n05579944,elbow,n05579944,842,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped,same,1,NA
799,wrist,The flexible and narrower connection between the forearm and the hand.,n05584928,carpus,NA,NA,NA,different,0,NA
799,wrist,The flexible and narrower connection between the forearm and the hand.,n05584928,wrist,n05584928,978,a joint between the distal end of the radius and the proximal row of carpal bones,same,1,NA
1277,hand,That part of the fore limb below the forearm or wrist in primates (including humans).,n05564590,paw,n02439929,272,a clawed foot of an animal especially a quadruped,different,0,NA
1277,hand,That part of the fore limb below the forearm or wrist in primates (including humans).,n05564590,hand,n05564590,21014,the (prehensile) extremity of the superior limb,same,1,NA
1277,hand,That part of the fore limb below the forearm or wrist in primates (including humans).,n05564590,mitt,n02800213,47,the handwear used by fielders in playing baseball,different,0,NA
1277,hand,That part of the fore limb below the forearm or wrist in primates (including humans).,n05564590,manus,NA,NA,NA,different,0,NA
1303,finger,One of the long extremities of the hand that is used for gripping objects.,n05566504,finger,n05566504,5002,any of the terminal members of the hand (sometimes excepting the thumb),same,1,NA
1781,thumb,The shortest and thickest of the fingers that can be placed against the others in order to create a firm grip.,n05567217,thumb,n05567217,811,the thick short innermost digit of the forelimb,same,1,NA
1781,thumb,The shortest and thickest of the fingers that can be placed against the others in order to create a firm grip.,n05567217,pollex,NA,NA,NA,different,0,NA
1258,fingernail,"The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.",n05584265,fingernail,n05584265,285,the nail at the end of a finger,same,1,NA
72,claw,"The hard, keratin part growing at the feet of animals.",n02156140,claw,n02156140,229,sharp curved horny process on the toe of a bird or some mammals or reptiles,same,1,NA
1297,leg,The limb of an animal (including humans) that extends from the groin to the ankle.,n05561507,leg,n05560787,4268,a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle,different,1,NA
471,upper leg (thigh),The part of the leg between the pelvis and the knee.,n5562249,thigh,n05562249,755,the part of the leg between the hip and the knee,different,1,NA
1371,knee,"In man, the joint in the middle part of the leg.",n05573602,genu,NA,NA,NA,different,0,NA
1371,knee,"In man, the joint in the middle part of the leg.",n05573602,knee,n05573602,2855,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,same,1,NA
1301,foot,The part of a human’s body below the ankle that is used in order to stand and walk.,n05563266,foot,n05563266,6088,the part of the leg of a human being below the ankle joint,same,1,NA
1301,foot,The part of a human’s body below the ankle that is used in order to stand and walk.,n05563266,pes,n05563266,1,the part of the leg of a human being below the ankle joint,same,1,NA
803,ankle,A joint formed where the foot and the leg meet.,n05578442,ankle,n05578442,720,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus,same,1,NA
980,heel,The part of the human foot on the backside where it becomes the leg.,n05578095,heel,n03511426,540,the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation,different,1,NA
318,footprint,The impression of the foot in a soft substance such as sand or snow.,n06645039,step,v01928838,3647,shift or move by taking a step,different,0,NA
318,footprint,The impression of the foot in a soft substance such as sand or snow.,n06645039,footmark,NA,NA,NA,different,0,NA
318,footprint,The impression of the foot in a soft substance such as sand or snow.,n06645039,footprint,n06645039,150,a mark of a foot or shoe on a surface,same,1,NA
1389,toe,One of the extremities of the foot.,n05577410,toe,n05577410,1038,one of the digits of the foot,same,1,NA
1257,wing,"The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.",n02151625,wing,n02151625,775,a movable organ for flying (one of a pair),same,1,NA
1201,feather,"A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.",n01896031,feather,n01896031,439,the light horny waterproof structure forming the external covering of birds,same,1,NA
1201,feather,"A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.",n01896031,plumage,n01896031,20,the light horny waterproof structure forming the external covering of birds,same,1,NA
1201,feather,"A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.",n01896031,plume,n13900760,105,anything that resembles a feather in shape or lightness,different,0,NA
1592,chest,The portion of the body from the base of the neck to the top of the abdomen; the thorax.,n05552607,chest,n05552607,2575,the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,same,1,NA
1592,chest,The portion of the body from the base of the neck to the top of the abdomen; the thorax.,n05552607,thorax,n05553618,11,the middle region of the body of an arthropod between the head and the abdomen,different,0,NA
1592,chest,The portion of the body from the base of the neck to the top of the abdomen; the thorax.,n05552607,pectus,NA,NA,NA,different,0,NA
1402,breast,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,n05554405,tit,n05554405,77,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,same,1,NA
1402,breast,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,n05554405,bosom,n05553486,77,a person's breast or chest,different,0,NA
1402,breast,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,n05554405,knocker,n03626760,20,a device (usually metal and ornamental) attached by a hinge to a door,different,0,NA
1402,breast,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,n05554405,breast,n05554405,1359,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,same,1,NA
1402,breast,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,n05554405,titty,n05554405,20,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,same,1,NA
1402,breast,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,n05554405,boob,n05554405,68,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,same,1,NA
796,nipple,"The projection of a mammary gland from which, on female mammals, milk can be secreted.",n05554653,pap,n06612174,15,worthless or oversimplified ideas,different,0,NA
796,nipple,"The projection of a mammary gland from which, on female mammals, milk can be secreted.",n05554653,tit,n05554405,77,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,different,0,NA
796,nipple,"The projection of a mammary gland from which, on female mammals, milk can be secreted.",n05554653,mammilla,NA,NA,NA,different,0,NA
796,nipple,"The projection of a mammary gland from which, on female mammals, milk can be secreted.",n05554653,nipple,n05554653,213,the small projection of a mammary gland,same,1,NA
