concepticon_id,name,description,final_synset,synonym,wordnet_id,count,definition,same_synset,annotation,comment
624,lake,"An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.",n09328904,lake,n09328904,1125,a body of (usually fresh) water surrounded by land,same,1,NA
663,bay,"An open, curving indentation made by the sea or a lake into a coastline.",n09215664,embayment,n09215664,1,an indentation of a shoreline larger than a cove but smaller than a gulf,same,1,NA
663,bay,"An open, curving indentation made by the sea or a lake into a coastline.",n09215664,bay,n09215664,377,an indentation of a shoreline larger than a cove but smaller than a gulf,same,1,NA
623,lagoon,A body of water cut off from the open sea by coral reefs or sand bars.,n09328746,laguna,NA,NA,NA,different,0,NA
623,lagoon,A body of water cut off from the open sea by coral reefs or sand bars.,n09328746,lagune,NA,NA,NA,different,0,NA
623,lagoon,A body of water cut off from the open sea by coral reefs or sand bars.,n09328746,lagoon,n09328746,87,a body of water cut off from a larger body by a reef of sand or coral,same,1,NA
660,reef,"A line of rocks in the tidal zone of a coast, submerged at high water but partly uncovered at low water.",n09406793,reef,n09406793,126,a submerged ridge of rock or coral near the surface of the water,same,1,NA
1662,cape,A piece of land extending into water.,n09233715,cape,n02955767,163,a sleeveless garment like a cloak but shorter,different,0,NA
1662,cape,A piece of land extending into water.,n09233715,ness,n09233715,34,a strip of land projecting into a body of water,same,1,NA
978,wave,A disturbance in an fluid medium.,n07352190,wave,v01041415,1134,signal with the hands or nod,different,1,dominant POS was noun in Subtlex
891,tide,"The periodic rise and fall of the water resulting from gravitational interaction between the sun, moon and earth.",n07402519,tide,n07402519,331,the periodic rise and fall of the sea level under the gravitational pull of the moon,same,1,NA
613,high tide,The level of water when the tide is at its highest level.,n07401960,highwater,n07401960,3,the tide when the water is highest,same,1,NA
3311,flowing body of water,"A generic way to refer to a flowing body of water, for example used to refer to rivers, brooks, streams, creeks etc.",n9448361,watercourse,n09448361,2,a natural body of running water flowing on or under the earth,different,1,NA
3311,flowing body of water,"A generic way to refer to a flowing body of water, for example used to refer to rivers, brooks, streams, creeks etc.",n9448361,stream,n09448361,513,a natural body of running water flowing on or under the earth,different,1,NA
1982,whirlpool,A rapidly rotating body of water.,n07433145,maelstrom,n07433145,27,a powerful circular current of water (usually the result of conflicting tides),same,1,NA
1982,whirlpool,A rapidly rotating body of water.,n07433145,whirlpool,n07433145,26,a powerful circular current of water (usually the result of conflicting tides),same,1,NA
1982,whirlpool,A rapidly rotating body of water.,n07433145,vortex,n07433145,34,a powerful circular current of water (usually the result of conflicting tides),same,1,NA
2144,spring or well,A natural or human-made source of fresh water.,n04572344,well,r00011093,9116,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),different,0,this concept will not be considered
1145,swamp,"A permanently waterlogged area in which there is often associated tree growth, e.g. mangroves in hot climates.",n09452395,swampland,n09452395,11,low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog,same,1,NA
1145,swamp,"A permanently waterlogged area in which there is often associated tree growth, e.g. mangroves in hot climates.",n09452395,swamp,n09452395,266,low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog,same,1,NA
943,waterfall,A perpendicular or steep descent of the water of a stream.,n09475292,waterfall,n09475292,161,a steep descent of the water of a river,same,1,NA
943,waterfall,A perpendicular or steep descent of the water of a stream.,n09475292,falls,NA,NA,NA,different,0,NA
420,forest,"A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.",n08438533,forest,n08438533,1191,the trees and other plants in a large densely wooded area,same,1,NA
420,forest,"A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.",n08438533,wood,n15098161,1716,the hard fibrous lignified substance under the bark of trees,different,0,NA
420,forest,"A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.",n08438533,woods,n15098161,10,the hard fibrous lignified substance under the bark of trees,different,0,NA
1803,wood,"The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.",n15098161,wood,n15098161,1716,the hard fibrous lignified substance under the bark of trees,same,1,NA
2125,stone or rock,A naturally occurring solid aggregate of one or more minerals or mineraloids.,n09416076,stone,n04326084,1041,building material consisting of a piece of rock hewn in a definite shape for a special purpose,different,1,NA
2125,stone or rock,A naturally occurring solid aggregate of one or more minerals or mineraloids.,n09416076,rock,n09416076,2089,a lump or mass of hard consolidated mineral matter,same,1,NA
6,earthquake,"The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.",n07428954,temblor,n07428954,13,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity,same,1,NA
6,earthquake,"The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.",n07428954,quake,n07428954,96,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity,same,1,NA
6,earthquake,"The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.",n07428954,earthquake,n07428954,280,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity,same,1,NA
6,earthquake,"The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.",n07428954,seism,NA,NA,NA,different,0,NA
1732,sky,"The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.",n09436708,sky,n09436708,3158,the atmosphere and outer space as viewed from the earth,same,1,NA
1343,sun,"The particular star at the centre of our solar system, from which the Earth gets light and heat.",n09450163,Sun,NA,NA,NA,different,0,NA
1343,sun,"The particular star at the centre of our solar system, from which the Earth gets light and heat.",n09450163,sun,n09450163,2169,the star that is the source of light and heat for the planets in the solar system,same,1,NA
1313,moon,A natural satellite of a planet.,n09358358,moon,n09358358,1133,the natural satellite of the Earth,same,1,NA
1313,moon,A natural satellite of a planet.,n09358358,Moon,NA,NA,NA,different,0,NA
1430,star,A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.,n09444783,star,n09444100,2013,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior,different,1,NA
1654,lightning,The flash of light caused by the discharge of atmospheric electrical charge.,n11475279,lightning,n11475279,456,abrupt electric discharge from cloud to cloud or from cloud to earth accompanied by the emission of light,same,1,NA
1150,thunder,Sound produced by fast air expansion induced by a lightning.,n07397355,thunder,n07397355,272,a booming or crashing noise caused by air expanding along the path of a bolt of lightning,same,1,NA
2007,bolt (of lightning),"A sudden, short, temporary burst of light.",n11519121,thunderbolt,n11519121,21,a discharge of lightning accompanied by thunder,same,1,NA
2007,bolt (of lightning),"A sudden, short, temporary burst of light.",n11519121,bolt,v01966039,155,move or jump suddenly,different,0,NA
858,storm,An atmospheric disturbance involving perturbations of the prevailing pressure and wind fields on scales ranging from tornadoes to extratropical cyclones; also the associated weather and the like. (Source: MGH),n11462526,storm,n11462526,1179,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,same,1,NA
1733,rainbow,A multicoloured arc in the sky caused by the refraction of light within droplets of rain in the air.,n09403427,rainbow,n09403427,164,an arc of colored light in the sky caused by refraction of the sun's rays by rain,same,1,NA
630,light (radiation),Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED),n05018103,luminosity,n05018103,29,the quality of being luminous; emitting or reflecting light,same,1,NA
630,light (radiation),Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED),n05018103,luminance,n05018103,3,the quality of being luminous; emitting or reflecting light,same,1,NA
630,light (radiation),Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED),n05018103,brightness,n04952242,160,the location of a visual perception along a continuum from black to white,different,0,NA
630,light (radiation),Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED),n05018103,luminousness,NA,NA,NA,different,0,NA
630,light (radiation),Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED),n05018103,light,n11473954,3505,(physics) electromagnetic radiation that can produce a visual sensation,different,1,NA
11,darkness,Absence of light.,n13983515,darkness,n13983515,1356,absence of light or illumination,same,1,NA
11,darkness,Absence of light.,n13983515,dark,a00409440,2498,(used of color) having a dark hue,different,0,NA
1388,shade,"Darkness, where light (particularly sunlight) is blocked.",n13984944,shadow,n13984944,1480,shade within clear boundaries,same,1,NA
1977,dew,Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.,n14834132,dew,n14834132,76,water that has condensed on a cool surface overnight from water vapor in the air,same,1,NA
27,air,A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.,n14841267,air,n14841267,3700,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,same,1,NA
960,wind,"The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.",n11525955,wind,n11525955,3321,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,same,1,NA
1489,cloud,Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.,n09247410,cloud,n09247410,897,a visible mass of water or ice particles suspended at a considerable altitude,same,1,NA
249,fog,"Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.",n11458314,fog,n11458314,348,droplets of water vapor suspended in the air near the ground,same,1,NA
658,rain (precipitation),Precipitation in the form of liquid water drops with diameters greater than 0.5 millimeters.,n11501381,rain,n11501381,1889,water falling in drops from vapor condensed in the atmosphere,same,1,NA
658,rain (precipitation),Precipitation in the form of liquid water drops with diameters greater than 0.5 millimeters.,n11501381,rainfall,n11501381,85,water falling in drops from vapor condensed in the atmosphere,same,1,NA
784,snow,"The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.",n11508382,snow,n15043763,1377,a layer of snowflakes (white crystals of frozen water) covering the ground,different,1,NA
784,snow,"The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.",n11508382,snowfall,n11508382,62,precipitation falling from clouds in the form of ice crystals,same,1,NA
617,ice,The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.,n14915184,ice,n14915184,1739,water frozen in the solid state,same,1,NA
952,weather,"The day-to-day meteorological conditions, especially temperature, cloudiness, and rainfall, affecting a specific place.",n11524662,conditions,NA,NA,NA,different,0,NA
952,weather,"The day-to-day meteorological conditions, especially temperature, cloudiness, and rainfall, affecting a specific place.",n11524662,weather,n11524662,1598,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,same,1,NA
221,fire,"The state of combustion in which inflammable material burns, producing heat, flames and often smoke.",n13480848,fire,n07302836,2226,the event of something burning (often destructive),different,1,NA
221,fire,"The state of combustion in which inflammable material burns, producing heat, flames and often smoke.",n13480848,flaming,s01256735,15,very intense,different,0,NA
221,fire,"The state of combustion in which inflammable material burns, producing heat, flames and often smoke.",n13480848,flame,n13480848,978,the process of combustion of inflammable materials producing heat and light and (often) smoke,same,0,NA
889,flame,"A bright yellow, red or bluish light which emerges during combustion processes.",n13480848,fire,n07302836,2226,the event of something burning (often destructive),different,0,NA
889,flame,"A bright yellow, red or bluish light which emerges during combustion processes.",n13480848,flaming,s01256735,15,very intense,different,0,NA
889,flame,"A bright yellow, red or bluish light which emerges during combustion processes.",n13480848,flame,n13480848,978,the process of combustion of inflammable materials producing heat and light and (often) smoke,same,1,NA
778,smoke (exhaust),"An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.",n13556893,smoke,v01198101,976,"inhale and exhale smoke from cigarettes, cigars, pipes",different,0,dominant POS was verb in Subtlex
778,smoke (exhaust),"An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.",n13556893,smoking,n00834636,465,the act of smoking tobacco or other substances,different,0,NA
646,ash,The incombustible matter remaining after a substance has been incinerated.,n14769160,ash,n14769160,182,the residue that remains when something is burned,same,1,NA
67,embers,"A small, glowing piece of coal or wood, as in a dying fire.",n09273130,coal,n14814616,632,fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period,different,0,NA
67,embers,"A small, glowing piece of coal or wood, as in a dying fire.",n09273130,ember,n09273130,85,a hot fragment of wood or coal that is left from a fire and is glowing or smoldering,same,1,NA
141,burn (something),To cause to undergo fire combustion.,v00378042,burn,v00378664,922,destroy by fire,different,1,dominant POS was verb in Subtlex
141,burn (something),To cause to undergo fire combustion.,v00378042,incinerate,v00378361,33,become reduced to ashes,different,0,NA
1428,burning,To be consumed by fire.,v00377002,combust,v02760622,7,start to burn or burst into flames,different,0,this concept will not be considered
1428,burning,To be consumed by fire.,v00377002,burn,v00378664,922,destroy by fire,different,0,NA
737,light (ignite),To start a fire or light a flame.,v02759614,ignite,v02759614,54,cause to start burning; subject to fire or great heat,same,1,NA
737,light (ignite),To start a fire or light a flame.,v02759614,light,n11473954,3505,(physics) electromagnetic radiation that can produce a visual sensation,different,0,NA
127,extinguish,To make something stop burning.,v02761897,extinguish,v02761897,87,"put out, as of fires, flames, or lights",same,1,NA
127,extinguish,To make something stop burning.,v02761897,quench,v01204021,28,satisfy (thirst),different,0,NA
1133,match,A stick with inflammable substance on one end that can be set on fire by friction.,n03728437,lucifer,n03728437,1,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction,same,1,NA
1133,match,A stick with inflammable substance on one end that can be set on fire by friction.,n03728437,match,v02657219,643,"be compatible, similar or consistent; coincide in their characteristics",different,1,dominant POS was noun in Subtlex
10,firewood,Wood intended to be burned.,n15100644,firewood,n15100644,75,wood used for fuel,same,1,NA
1188,charcoal,"A porous solid product containing 85-98% carbon and produced by heating carbonaceous materials such as cellulose, wood or peat at 500-600 C° in the absence of air. (Source: MGH)",n14685296,charcoal,n14685296,109,a carbonaceous material obtained by heating wood or other organic matter in the absence of air,same,1,NA
683,person,A human being.,n00007846,someone,n00007846,7,a human being,same,1,NA
683,person,A human being.,n00007846,person,n00007846,5327,a human being,same,1,NA
683,person,A human being.,n00007846,individual,n00007846,1496,a human being,same,1,NA
683,person,A human being.,n00007846,soul,n10627082,1231,the immaterial part of a person; the actuating cause of an individual life,different,0,NA
683,person,A human being.,n00007846,somebody,n00007846,3,a human being,same,1,NA
683,person,A human being.,n00007846,mortal,a01557614,147,subject to death,different,0,NA
1554,man,An adult human member of the sex that begets young by fertilizing ova.,n10287213,man,n10287213,31038,an adult person who is male (as opposed to a woman),same,1,NA
962,woman,An adult human member of the sex that produces ova and bears young.,n10787470,woman,n10787470,20794,an adult female person (as opposed to a man),same,1,NA
2261,male (of person),Relating to the male sex of humans.,a01477077,male,a01476685,833,being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation,different,1,NA
2260,female (of person),Relating to the female sex of humans.,a01478182,female,a01477806,1255,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop,different,1,NA
1366,boy,"A young male person, usually a child or teenager.",n10285313,boy,n10285313,7660,a youthful male person,same,1,NA
1646,girl,"A young female person, usually a child or teenager.",n10084295,girl,n10129825,7488,a young woman,different,1,NA
1304,child (young human),A person below the age of puberty.,n09917593,kid,n09917593,7544,a young person of either sex,same,1,NA
1304,child (young human),A person below the age of puberty.,n09917593,youngster,n09917593,234,a young person of either sex,same,1,NA
1304,child (young human),A person below the age of puberty.,n09917593,tike,n09917593,1,a young person of either sex,same,1,NA
1304,child (young human),A person below the age of puberty.,n09917593,nipper,n09917593,3,a young person of either sex,same,1,NA
1304,child (young human),A person below the age of puberty.,n09917593,minor,a01473083,265,of lesser importance or stature or rank,different,0,NA
1304,child (young human),A person below the age of puberty.,n09917593,nestling,n01504344,10,young bird not yet fledged,different,0,NA
1304,child (young human),A person below the age of puberty.,n09917593,tyke,n09917593,10,a young person of either sex,same,1,NA
1304,child (young human),A person below the age of puberty.,n09917593,tiddler,NA,NA,NA,different,0,NA
1304,child (young human),A person below the age of puberty.,n09917593,fry,v00325328,398,cook on a hot surface using fat,different,0,NA
1304,child (young human),A person below the age of puberty.,n09917593,shaver,n10586903,3,an adult male who shaves,different,0,NA
1304,child (young human),A person below the age of puberty.,n09917593,child,n09917593,11071,a young person of either sex,same,1,NA
1289,baby,"A very young human being, from birth to a year old.",n09827683,infant,n09827683,575,a very young child (birth to 1 year) who has not yet begun to walk or talk,same,1,NA
1289,baby,"A very young human being, from birth to a year old.",n09827683,baby,n09827683,5212,a very young child (birth to 1 year) who has not yet begun to walk or talk,same,1,NA
1289,baby,"A very young human being, from birth to a year old.",n09827683,babe,n09827363,164,(slang) sometimes used as a term of address for attractive young women,different,0,NA
1200,husband,The male partner in a marriage.,n10193967,hubby,n10193967,32,a married man; a woman's partner in marriage,same,1,NA
1200,husband,The male partner in a marriage.,n10193967,husband,n10193967,4970,a married man; a woman's partner in marriage,same,1,NA
1199,wife,The female partner in a marriage.,n10780632,wife,n10780632,6272,a married woman; a man's partner in marriage,same,1,NA
203,marry,To enter marriage; to take a husband or a wife.,v02488834,conjoin,v01291069,29,make contact or come together,different,0,NA
203,marry,To enter marriage; to take a husband or a wife.,v02488834,marry,v02488834,3264,take in marriage,same,1,NA
203,marry,To enter marriage; to take a husband or a wife.,v02488834,espouse,v02346895,38,"choose and follow; as of theories, ideas, policies, strategies or plans",different,0,NA
203,marry,To enter marriage; to take a husband or a wife.,v02488834,wed,v02488834,32,take in marriage,same,1,NA
1134,divorce,Legal dissolution of a marriage.,n01201271,divorcement,n01201271,1,the legal dissolution of a marriage,same,1,NA
1134,divorce,Legal dissolution of a marriage.,n01201271,divorce,n01201271,798,the legal dissolution of a marriage,same,1,NA
1217,father,A male parent.,n10080869,begetter,NA,NA,NA,different,0,NA
1217,father,A male parent.,n10080869,father,n10080869,12039,a male parent (also used as a term of address to your father),same,1,NA
1216,mother,A woman who has at least one child.,n10332385,mother,n10332385,14200,a woman who has given birth to a child (also used as a term of address to your mother),same,1,NA
505,parents,Father and mother of a child.,n10399491,parent,n10399491,6543,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,same,1,NA
1620,son,One's male child.,n10624074,son,n10624074,5901,a male human offspring,same,1,NA
1620,son,One's male child.,n10624074,boy,n10285313,7660,a youthful male person,different,0,NA
1357,daughter,An animal's female offspring (including that of a human).,n09992837,girl,n10129825,7488,a young woman,different,0,NA
1357,daughter,An animal's female offspring (including that of a human).,n09992837,daughter,n09992837,4692,a female human offspring,same,1,NA
1801,child (descendant),Biological offspring.,n09918248,kid,n09917593,7544,a young person of either sex,different,1,NA
1801,child (descendant),Biological offspring.,n09918248,child,n09917593,11071,a young person of either sex,different,1,NA
1262,brother,A male person who has the same parents as another person.,n09876454,brother,n09876454,5246,a male with the same parents as someone else,same,1,NA
1263,sister,A female person who has the same parents as another person.,n10602985,sis,n10602985,35,a female person who has the same parents as another person,same,1,NA
1263,sister,A female person who has the same parents as another person.,n10602985,sister,n10602985,4320,a female person who has the same parents as another person,same,1,NA
1640,sibling,A person who has the same parents as another person.,n10595164,sib,n10595164,13,a person's brother or sister,same,1,NA
1640,sibling,A person who has the same parents as another person.,n10595164,sibling,n10595164,372,a person's brother or sister,same,1,NA
1005,twins,A case of multiple birth in which the mother gives birth to two offspring from the same pregnancy.,n10734394,twin,n10734394,540,either of two offspring born at the same time from the same pregnancy,same,1,NA
1383,grandfather,The father of one of someone's parents.,n10142391,granddad,n10142391,15,the father of your father or mother,same,1,NA
