concepticon_id	name	description	final_synset	synonym	wordnet_id	count	definition	same_synset	taxonomic_depth
42	stinking	Having a bad smell.	a01053634	foul-smelling				different	0.0
42	stinking	Having a bad smell.	a01053634	funky	s00609750	85.0	stylish and modern in an unconventional way	different	0.0
42	stinking	Having a bad smell.	a01053634	ill-scented				different	0.0
42	stinking	Having a bad smell.	a01053634	noisome	s02560035	1.0	causing or able to cause nausea	different	0.0
42	stinking	Having a bad smell.	a01053634	smelly	s01053634	2.0	offensively malodorous	different	0.0
42	stinking	Having a bad smell.	a01053634	stinking				different	0.0
43	lead (guide)	To guide by moving in front.	v01999798	conduct	v02445509	1003.0	direct the course of; manage or control	different	0.0
43	lead (guide)	To guide by moving in front.	v01999798	direct	s00770480	559.0	having no intervening persons, agents, conditions	different	0.0
43	lead (guide)	To guide by moving in front.	v01999798	guide	v01999798	498.0	take somebody somewhere	same	0.0
43	lead (guide)	To guide by moving in front.	v01999798	lead	v01999798	2086.0	take somebody somewhere	same	0.0
43	lead (guide)	To guide by moving in front.	v01999798	take	v02599636	5343.0	carry out	different	0.0
48	be silent	To stop speaking or making noise.	s175123	silent	s01919428	1164.0	marked by absence of sound	different	0.0
48	be silent	To stop speaking or making noise.	s175123	unsounded				different	0.0
49	refuse	To not do what is being asked.	v00797430	decline	v00797430	342.0	show unwillingness towards	same	2.0
49	refuse	To not do what is being asked.	v00797430	refuse	v00797430	1423.0	show unwillingness towards	same	2.0
52	shiver	To shake nervously, as if from fear.	v01888946	shiver	v00014201	397.0	shake, as from cold	different	3.0
52	shiver	To shake nervously, as if from fear.	v01888946	shudder	v01888946	218.0	tremble convulsively, as from fear or excitement	same	3.0
52	shiver	To shake nervously, as if from fear.	v01888946	thrill	n07528470	175.0	the swift release of a store of affective force	different	3.0
52	shiver	To shake nervously, as if from fear.	v01888946	throb	v02122665	87.0	pulsate or pound with abnormal force	different	3.0
55	whisper	To speak in a quiet voice, without vibration of the vocal cords.	v00915830	whisper	v00915830	2154.0	speak softly; in a low voice	same	4.0
56	bad luck	An undesirable event such as an accident.	n14475405	misfortune	n14475405	45.0	an unfortunate state resulting from unfavorable outcomes	same	6.0
60	oat	A species of grass (Avena sativa) grown for its seed.	n12109827	oat	n12109827	44.0	annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')	same	12.0
65	ambush	The act of concealing yourself and lying in wait to attack by surprise.	n01246926	ambuscade	n01246926	2.0	the act of concealing yourself and lying in wait to attack by surprise	same	9.0
65	ambush	The act of concealing yourself and lying in wait to attack by surprise.	n01246926	ambush	n01246926	111.0	the act of concealing yourself and lying in wait to attack by surprise	same	9.0
65	ambush	The act of concealing yourself and lying in wait to attack by surprise.	n01246926	trap	n04474466	402.0	a device in which something (usually an animal) can be caught and penned	different	9.0
66	kneel	To go down on one or both knees.	v01545649	kneel	v01545649	332.0	rest one's weight on one's knees	same	2.0
67	embers	A small, glowing piece of coal or wood, as in a dying fire.	n09273130	coal	n14814616	632.0	fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period	different	5.0
67	embers	A small, glowing piece of coal or wood, as in a dying fire.	n09273130	ember	n09273130	85.0	a hot fragment of wood or coal that is left from a fire and is glowing or smoldering	same	5.0
68	tattoo	A marking made by inserting ink into the layers of skin to change the pigment permanently for decorative or other reasons.	n04395651	tattoo	n04395651	210.0	a design on the skin made by tattooing	same	7.0
70	brackish	(Of water) Salty or slightly salty, as a mixture of fresh and sea water.	a01074062	brackish	s01716845	6.0	distasteful and unpleasant; spoiled by mixture	different	0.0
70	brackish	(Of water) Salty or slightly salty, as a mixture of fresh and sea water.	a01074062	briny	s01074062	13.0	slightly salty (especially from containing a mixture of seawater and fresh water)	different	0.0
72	claw	The hard, keratin part growing at the feet of animals.	n02156140	claw	n02156140	229.0	sharp curved horny process on the toe of a bird or some mammals or reptiles	same	7.0
73	beak	External anatomical structure of birds which is used for taking food and for eating.	n01758308	beak	n01758308	100.0	horny projecting mouth of a bird	same	9.0
73	beak	External anatomical structure of birds which is used for taking food and for eating.	n01758308	bill	n06536853	813.0	a statute in draft before it becomes law	different	9.0
73	beak	External anatomical structure of birds which is used for taking food and for eating.	n01758308	neb	n01758308	3.0	horny projecting mouth of a bird	same	9.0
73	beak	External anatomical structure of birds which is used for taking food and for eating.	n01758308	nib	n03823111	15.0	the writing point of a pen	different	9.0
