concepticon_id,glottocode,lex,concepticon_gloss,semantic_field,language,area,family
1228,sese1246,1,earth,The physical world,Seselwa Creole French,Africa,Indo-European
1228,roma1327,1,earth,The physical world,Romanian,Eurasia,Indo-European
1228,west2376,1,earth,The physical world,West Slovakian Romani,Eurasia,Indo-European
1228,lowe1385,1,earth,The physical world,Lower Sorbian,Eurasia,Indo-European
1228,oldh1241,1,earth,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
1228,dutc1256,1,earth,The physical world,Dutch,Eurasia,Indo-European
1228,stan1293,1,earth,The physical world,English,Eurasia,Indo-European
1228,kild1236,1,earth,The physical world,Kildin Saami,Eurasia,Uralic
1228,bezh1248,1,earth,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
1228,arch1244,1,earth,The physical world,Archi,Eurasia,Nakh-Daghestanian
1228,yaku1245,1,earth,The physical world,Sakha,Eurasia,Turkic
1228,oroq1238,1,earth,The physical world,Oroqen,Eurasia,Tungusic
1228,nucl1643,1,earth,The physical world,Japanese,Eurasia,Japonic
1228,mand1415,1,earth,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
1228,thai1261,1,earth,The physical world,Thai,Eurasia,Tai-Kadai
1228,viet1252,1,earth,The physical world,Vietnamese,Eurasia,Austroasiatic
1228,hmon1333,1,earth,The physical world,Hmong Daw,Eurasia,Hmong-Mien
1228,indo1316,1,earth,The physical world,Standard Indonesian,Papunesia,Austronesian
1228,plat1254,1,earth,The physical world,Plateau Malagasy,Africa,Austronesian
1228,hawa1245,1,earth,The physical world,Hawaiian,Papunesia,Austronesian
1228,yaqu1251,1,earth,The physical world,Yaqui,North America,Uto-Aztecan
1228,tzot1259,1,earth,The physical world,Tzotzil,North America,Mayan
1228,kekc1242,1,earth,The physical world,Q'eqchi',North America,Mayan
1228,mezq1235,1,earth,The physical world,Mezquital Otomi,North America,Otomanguean
1228,sara1340,1,earth,The physical world,Saramaccan,South America,Indo-European
1228,imba1240,1,earth,The physical world,Imbabura Highland Quichua,South America,Quechuan
1228,gali1262,1,earth,The physical world,Galibi Carib,South America,Cariban
1228,hupd1244,1,earth,The physical world,Hup,South America,Naduhup
1228,wich1264,1,earth,The physical world,Güisnay,South America,Mataguayan
1228,mapu1245,1,earth,The physical world,Mapudungun,South America,Araucanian
1228,kett1243,1,earth,The physical world,Ket,Eurasia,Yeniseian
1228,chew1245,1,earth,The physical world,Chewong,Eurasia,Austroasiatic
1228,guri1247,1,earth,The physical world,Gurindji,Australia,Pama-Nyungan
2,swah1253,1,dust,The physical world,Swahili,Africa,Atlantic-Congo
2,iraq1241,1,dust,The physical world,Iraqw,Africa,Afro-Asiatic
2,gaww1239,1,dust,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
2,haus1257,1,dust,The physical world,Hausa,Africa,Afro-Asiatic
2,cent2050,1,dust,The physical world,Central Kanuri,Africa,Saharan
2,tari1263,1,dust,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
2,sese1246,1,dust,The physical world,Seselwa Creole French,Africa,Indo-European
2,roma1327,1,dust,The physical world,Romanian,Eurasia,Indo-European
